                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  133421631 |  134768856 |  134104175 |  134786285 |  126786499 |  125792085
  Cycles                             |  182242400 |  182242400 |  182242400 |  182242400 |   45560600 |   45560600
  IPC                                |       0.73 |       0.74 |       0.74 |       0.74 |       2.78 |       2.76
  Time (ns)                          |   45560600 |   45560600 |   45560600 |   45560600 |   45560600 |   45560600
  Idle time (ns)                     |        457 |     466709 |     467471 |     468012 |     468462 |     468858
  Idle time (%)                      |       0.0% |       1.0% |       1.0% |       1.0% |       1.0% |       1.0%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    7718710 |    8320397 |    8099018 |    8326149 |    8986037 |    8654704
  num incorrect                      |      60325 |      52352 |      52348 |      52424 |      47630 |      47622
  misprediction rate                 |      0.78% |      0.63% |      0.64% |      0.63% |      0.53% |      0.55%
  mpki                               |       0.45 |       0.39 |       0.39 |       0.39 |       0.38 |       0.38
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   12210522 |   12096676 |   12096525 |   12096653 |   10997206 |   10997097
    num misses                       |        198 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   43021024 |   43013627 |   42902569 |   43016483 |   39814479 |   39648512
    num misses                       |      39139 |      38719 |      36694 |      37054 |      34422 |      34540
    miss rate                        |      0.09% |      0.09% |      0.09% |      0.09% |      0.09% |      0.09%
    mpki                             |       0.29 |       0.29 |       0.27 |       0.27 |       0.27 |       0.27
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      39337 |      38744 |      36719 |      37079 |      34447 |      34565
    num misses                       |       7758 |       6717 |       6858 |       7036 |       6143 |       6183
    miss rate                        |     19.72% |     17.34% |     18.68% |     18.98% |     17.83% |     17.89%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   12210522 |   12096676 |   12096525 |   12096653 |   10997206 |   10997097
    num cache misses                 |      13768 |       3233 |       3245 |       3400 |       6181 |       6003
    miss rate                        |      0.11% |      0.03% |      0.03% |      0.03% |      0.06% |      0.05%
    mpki                             |       0.10 |       0.02 |       0.02 |       0.03 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   43021024 |   43013627 |   42902569 |   43016483 |   39814479 |   39648512
    num cache misses                 |    4801531 |    4784462 |    4786412 |    4784852 |    4349267 |    4351278
    miss rate                        |     11.16% |     11.12% |     11.16% |     11.12% |     10.92% |     10.97%
    mpki                             |      35.99 |      35.50 |      35.69 |      35.50 |      34.30 |      34.59
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    4884904 |    4854816 |    4856926 |    4855412 |    4416753 |    4418650
    num cache misses                 |     587808 |     563335 |     566362 |     565716 |     525755 |     527582
    miss rate                        |     12.03% |     11.60% |     11.66% |     11.65% |     11.90% |     11.94%
    mpki                             |       4.41 |       4.18 |       4.22 |       4.20 |       4.15 |       4.19
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     829198 |     802515 |     815585 |     805960 |     731842 |     748729
    num cache misses                 |     486449 |     466134 |     475105 |     466432 |     413950 |     430476
    miss rate                        |     58.66% |     58.08% |     58.25% |     57.87% |     56.56% |     57.49%
    mpki                             |       3.65 |       3.46 |       3.54 |       3.46 |       3.26 |       3.42
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |    5108956 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     886.55 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     825.30 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     14.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |     301981 |     293225 |     302589 |     294550 |     254873 |     269524
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
