                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   12503371 |    4713791 |    4791295 |    4483826 |    4778708 |    4581857 |    4064105 |    4626728 |    4839860 |    4742578 |    4985354 |    4973445
  Cycles                             |   12006000 |   12006000 |   12006000 |   12006000 |    9004500 |    9004500 |    9004500 |    9004500 |   12006000 |   12006000 |   12006000 |   12006000
  IPC                                |       1.04 |       0.39 |       0.40 |       0.37 |       0.53 |       0.51 |       0.45 |       0.51 |       0.40 |       0.40 |       0.42 |       0.41
  Time (ns)                          |    3001500 |    3001500 |    3001500 |    3001500 |    3001500 |    3001500 |    3001500 |    3001500 |    3001500 |    3001500 |    3001500 |    3001500
  Idle time (ns)                     |       1702 |    2295061 |    2295501 |    2295507 |    2285457 |    2285675 |    2285780 |    2285781 |    2296011 |    2296046 |    2295800 |    2295876
  Idle time (%)                      |       0.1% |      76.5% |      76.5% |      76.5% |      76.1% |      76.2% |      76.2% |      76.2% |      76.5% |      76.5% |      76.5% |      76.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1573948 |    1502137 |    1535001 |    1396991 |    1547123 |    1459796 |    1218273 |    1479139 |    1539700 |    1495585 |    1606338 |    1599566
  num incorrect                      |      80666 |       5380 |       4362 |       8552 |       2534 |       5154 |      13133 |       4642 |       5750 |       7325 |       3792 |       4042
  misprediction rate                 |      4.88% |      0.36% |      0.28% |      0.61% |      0.16% |      0.35% |      1.07% |      0.31% |      0.37% |      0.49% |      0.24% |      0.25%
  mpki                               |       6.45 |       1.14 |       0.91 |       1.91 |       0.53 |       1.12 |       3.23 |       1.00 |       1.19 |       1.54 |       0.76 |       0.81
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1575300 |      28908 |      25922 |      43550 |      18286 |      28057 |      61466 |      26788 |      31219 |      37741 |      22122 |      24154
    num misses                       |        174 |         26 |         26 |         24 |         26 |         26 |         26 |         26 |         26 |         24 |         26 |         26
    miss rate                        |      0.01% |      0.09% |      0.10% |      0.06% |      0.14% |      0.09% |      0.04% |      0.10% |      0.08% |      0.06% |      0.12% |      0.11%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
