                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   23004109 |    5568932 |    5382470 |    4396785
  Cycles                             |   18412000 |   18412000 |   18412000 |   18412000
  IPC                                |       1.25 |       0.30 |       0.29 |       0.24
  Time (ns)                          |    4603000 |    4603000 |    4603000 |    4603000
  Idle time (ns)                     |       1597 |    3416508 |    3416854 |    3416911
  Idle time (%)                      |       0.0% |      74.2% |      74.2% |      74.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    2772657 |    1595033 |    1519348 |    1109158
  num incorrect                      |     174886 |      24570 |      26926 |      40157
  misprediction rate                 |      5.93% |      1.52% |      1.74% |      3.49%
  mpki                               |       7.60 |       4.41 |       5.00 |       9.13
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    3335350 |     105926 |     108817 |     123769
    num misses                       |        178 |         26 |         26 |         25
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    5515883 |    1312977 |    1294129 |    1194273
    num misses                       |       3484 |       1862 |       1900 |       1851
    miss rate                        |      0.06% |      0.14% |      0.15% |      0.15%
    mpki                             |       0.15 |       0.33 |       0.35 |       0.42
  L2 TLB                             |            |            |            |           
    num accesses                     |       3662 |       1888 |       1926 |       1876
    num misses                       |        683 |        203 |        202 |        200
    miss rate                        |     18.65% |     10.75% |     10.49% |     10.66%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.05
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    3335350 |     105926 |     108817 |     123769
    num cache misses                 |       2967 |        175 |        176 |        174
    miss rate                        |      0.09% |      0.17% |      0.16% |      0.14%
    mpki                             |       0.13 |       0.03 |       0.03 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    5515883 |    1312977 |    1294129 |    1194273
    num cache misses                 |      72611 |      46041 |      46209 |      46766
    miss rate                        |      1.32% |      3.51% |      3.57% |      3.92%
    mpki                             |       3.16 |       8.27 |       8.59 |      10.64
  Cache L2                           |            |            |            |           
    num cache accesses               |      77724 |      46222 |      46388 |      46942
    num cache misses                 |      59116 |      40520 |      40715 |      41123
    miss rate                        |     76.06% |     87.66% |     87.77% |     87.60%
    mpki                             |       2.57 |       7.28 |       7.56 |       9.35
  Cache L3                           |            |            |            |           
    num cache accesses               |      61472 |      40554 |      40735 |      41126
    num cache misses                 |      20723 |       1949 |       2075 |       2197
    miss rate                        |     33.71% |      4.81% |      5.09% |      5.34%
    mpki                             |       0.90 |       0.35 |       0.39 |       0.50
DRAM summary                         |            |            |            |           
  num dram accesses                  |      26865 |          0 |          0 |          0
  average dram access latency (ns)   |      62.05 |        inf |        inf |        inf
  average dram queueing delay        |       0.80 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      11187 |        988 |       1079 |       1070
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
