                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   12770376 |    5098411 |    4916008 |    5094149 |    4301264 |    4897250 |    4740670 |    5019255
  Cycles                             |   12515600 |   12515600 |   12515600 |   12515600 |    9386700 |    9386700 |    9386700 |    9386700
  IPC                                |       1.02 |       0.41 |       0.39 |       0.41 |       0.46 |       0.52 |       0.51 |       0.53
  Time (ns)                          |    3128900 |    3128900 |    3128900 |    3128900 |    3128900 |    3128900 |    3128900 |    3128900
  Idle time (ns)                     |       1428 |    2295181 |    2295846 |    2295928 |    2285829 |    2286124 |    2285746 |    2286337
  Idle time (%)                      |       0.0% |      73.4% |      73.4% |      73.4% |      73.1% |      73.1% |      73.1% |      73.1%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1630998 |    1607905 |    1523150 |    1606446 |    1261126 |    1536340 |    1464932 |    1593454
  num incorrect                      |      83651 |       6521 |       9033 |       6711 |      16164 |       7043 |       9453 |       5202
  misprediction rate                 |      4.88% |      0.40% |      0.59% |      0.42% |      1.27% |      0.46% |      0.64% |      0.33%
  mpki                               |       6.55 |       1.28 |       1.84 |       1.32 |       3.76 |       1.44 |       1.99 |       1.04
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1589267 |      39684 |      51167 |      39215 |      79185 |      41953 |      50059 |      32788
    num misses                       |        169 |         24 |         24 |         24 |         24 |         24 |         26 |         24
    miss rate                        |      0.01% |      0.06% |      0.05% |      0.06% |      0.03% |      0.06% |      0.05% |      0.07%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.01 |       0.00 |       0.01 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    3063059 |     955972 |     939007 |     955489 |     869078 |     924769 |     909840 |     934602
    num misses                       |       2074 |        500 |        511 |        466 |        454 |        502 |        456 |        435
    miss rate                        |      0.07% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05% |      0.05%
    mpki                             |       0.16 |       0.10 |       0.10 |       0.09 |       0.11 |       0.10 |       0.10 |       0.09
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       2243 |        524 |        535 |        490 |        478 |        526 |        482 |        459
    num misses                       |        648 |        177 |        180 |        170 |        160 |        162 |        164 |        160
    miss rate                        |     28.89% |     33.78% |     33.64% |     34.69% |     33.47% |     30.80% |     34.02% |     34.86%
    mpki                             |       0.05 |       0.03 |       0.04 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1589267 |      39684 |      51167 |      39215 |      79185 |      41953 |      50059 |      32788
    num cache misses                 |       2845 |        155 |        156 |        156 |        155 |        157 |        163 |        157
    miss rate                        |      0.18% |      0.39% |      0.30% |      0.40% |      0.20% |      0.37% |      0.33% |      0.48%
    mpki                             |       0.22 |       0.03 |       0.03 |       0.03 |       0.04 |       0.03 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    3063059 |     955972 |     939007 |     955489 |     869078 |     924769 |     909840 |     934602
    num cache misses                 |      42702 |      14230 |      14523 |      14158 |      15013 |      14258 |      14455 |      14012
    miss rate                        |      1.39% |      1.49% |      1.55% |      1.48% |      1.73% |      1.54% |      1.59% |      1.50%
    mpki                             |       3.34 |       2.79 |       2.95 |       2.78 |       3.49 |       2.91 |       3.05 |       2.79
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      47583 |      14390 |      14679 |      14315 |      15168 |      14417 |      14619 |      14171
    num cache misses                 |      31244 |      12911 |      13114 |      12849 |      13359 |      12978 |      13112 |      12816
    miss rate                        |     65.66% |     89.72% |     89.34% |     89.76% |     88.07% |     90.02% |     89.69% |     90.44%
    mpki                             |       2.45 |       2.53 |       2.67 |       2.52 |       3.11 |       2.65 |       2.77 |       2.55
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      35498 |      12920 |      13116 |      12850 |      13359 |      12987 |      13123 |      12827
    num cache misses                 |      18707 |       1033 |        995 |        883 |       1222 |        968 |        986 |       1059
    miss rate                        |     52.70% |      8.00% |      7.59% |      6.87% |      9.15% |      7.45% |      7.51% |      8.26%
    mpki                             |       1.46 |       0.20 |       0.20 |       0.17 |       0.28 |       0.20 |       0.21 |       0.21
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      25699 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     112.68 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      51.43 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10684 |        530 |        444 |        399 |        606 |        480 |        473 |        624
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
