,Packed,Scatter,HPO,EPO
BC,0.0027564,0.002706,0.0027575,0.0093624
BFS,0.0027671,0.0027088,0.0027614,0.0093813
BT,0.024375,0.0243847,0.0243727,0.1000403
CC,0.0027699,0.0027145,0.0027676,0.0094017
CG,0.0221153,0.0222623,0.0221415,0.067701
FT,0.0384413,0.0348576,0.0382064,0.1312703
IS,0.0051165,0.0061811,0.0051025,0.0197823
MG,0.0025642,0.0025388,0.0025632,0.0094491
PR,0.0027633,0.0027105,0.0027615,0.0093748
SP,0.0129069,0.0130324,0.0129114,0.0524459
SSSP,0.0029515,0.002906,0.0029427,0.0101927
TC,0.0027727,0.0027127,0.0027637,0.0093953
lavaMD,0.0001754,0.0001763,0.0001765,0.00037
