                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   21982936 |    4773431 |    4485723 |    4544165 |    5566635 |    5078939
  Cycles                             |   15003400 |   15003400 |   15003400 |   15003400 |   15003400 |   15003400
  IPC                                |       1.47 |       0.32 |       0.30 |       0.30 |       0.37 |       0.34
  Time (ns)                          |   15003400 |   15003400 |   15003400 |   15003400 |   15003400 |   15003400
  Idle time (ns)                     |       1387 |   12082318 |   12082898 |   12083588 |   12083754 |   12084168
  Idle time (%)                      |       0.0% |      80.5% |      80.5% |      80.5% |      80.5% |      80.5%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2506412 |    1430726 |    1312271 |    1338840 |    1645015 |    1440915
  num incorrect                      |     169748 |      13614 |      17688 |      16796 |      21824 |      28840
  misprediction rate                 |      6.34% |      0.94% |      1.33% |      1.24% |      1.31% |      1.96%
  mpki                               |       7.72 |       2.85 |       3.94 |       3.70 |       3.92 |       5.68
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2614233 |     135319 |     159091 |     152082 |     191382 |     232523
    num misses                       |        173 |         27 |         29 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5224599 |    1040741 |    1012521 |    1016026 |    1213201 |    1163882
    num misses                       |       2601 |       1251 |       1226 |       1334 |       1270 |       1286
    miss rate                        |      0.05% |      0.12% |      0.12% |      0.13% |      0.10% |      0.11%
    mpki                             |       0.12 |       0.26 |       0.27 |       0.29 |       0.23 |       0.25
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2774 |       1278 |       1255 |       1361 |       1297 |       1313
    num misses                       |        679 |        199 |        195 |        204 |        195 |        207
    miss rate                        |     24.48% |     15.57% |     15.54% |     14.99% |     15.03% |     15.77%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2614233 |     135319 |     159091 |     152082 |     191382 |     232523
    num cache misses                 |       3143 |        182 |        182 |        183 |        174 |        171
    miss rate                        |      0.12% |      0.13% |      0.11% |      0.12% |      0.09% |      0.07%
    mpki                             |       0.14 |       0.04 |       0.04 |       0.04 |       0.03 |       0.03
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5224599 |    1040741 |    1012521 |    1016026 |    1213201 |    1163882
    num cache misses                 |      59874 |      32784 |      32946 |      32995 |      31645 |      31837
    miss rate                        |      1.15% |      3.15% |      3.25% |      3.25% |      2.61% |      2.74%
    mpki                             |       2.72 |       6.87 |       7.34 |       7.26 |       5.68 |       6.27
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65239 |      33077 |      33264 |      33285 |      33129 |      33503
    num cache misses                 |      51033 |      29640 |      29651 |      29719 |      28247 |      28395
    miss rate                        |     78.22% |     89.61% |     89.14% |     89.29% |     85.26% |     84.75%
    mpki                             |       2.32 |       6.21 |       6.61 |       6.54 |       5.07 |       5.59
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      53539 |      29783 |      29813 |      29850 |      29562 |      29891
    num cache misses                 |      29542 |      10579 |      10381 |      10531 |      21019 |      21031
    miss rate                        |     55.18% |     35.52% |     34.82% |     35.28% |     71.10% |     70.36%
    mpki                             |       1.34 |       2.22 |       2.31 |       2.32 |       3.78 |       4.14
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13605 |          0 |          0 |          0 |      13541 |          0
  average dram access latency (ns)   |      61.30 |        inf |        inf |        inf |      61.29 |        inf
  average dram queueing delay        |       0.04 |       0.00 |       0.00 |       0.00 |       0.04 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10565 |        440 |        405 |        408 |        201 |        203
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3255 |       3190 |       3160 |       3197 |       4928 |       5072
