                                     | Core 0     | Core 1    
  Instructions                       |   48573482 |   10641468
  Cycles                             |   40732400 |   40732400
  IPC                                |       1.19 |       0.26
  Time (ns)                          |   10183100 |   10183100
  Idle time (ns)                     |       1426 |    7011228
  Idle time (%)                      |       0.0% |      68.9%
Branch predictor stats               |            |           
  num correct                        |    5314660 |    2403184
  num incorrect                      |     447358 |     113688
  misprediction rate                 |      7.76% |      4.52%
  mpki                               |       9.21 |      10.68
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    6690562 |    1029855
    num misses                       |        171 |         28
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   12156686 |    3393588
    num misses                       |      37431 |      35861
    miss rate                        |      0.31% |      1.06%
    mpki                             |       0.77 |       3.37
  L2 TLB                             |            |           
    num accesses                     |      37602 |      35889
    num misses                       |        949 |        477
    miss rate                        |      2.52% |      1.33%
    mpki                             |       0.02 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    6690562 |    1029855
    num cache misses                 |       3365 |        290
    miss rate                        |      0.05% |      0.03%
    mpki                             |       0.07 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |   12156686 |    3393588
    num cache misses                 |     194996 |     161820
    miss rate                        |      1.60% |      4.77%
    mpki                             |       4.01 |      15.21
  Cache L2                           |            |           
    num cache accesses               |     200470 |     162116
    num cache misses                 |     137055 |     114204
    miss rate                        |     68.37% |     70.45%
    mpki                             |       2.82 |      10.73
  Cache L3                           |            |           
    num cache accesses               |     139344 |     114311
    num cache misses                 |      29161 |       7938
    miss rate                        |     20.93% |      6.94%
    mpki                             |       0.60 |       0.75
DRAM summary                         |            |           
  num dram accesses                  |      37058 |          0
  average dram access latency (ns)   |      61.73 |        inf
  average dram queueing delay        |       0.48 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      13767 |       3793
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
