                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   11209373 |    3130245 |    3438136 |    2894177 |    3295234 |    3618232
  Cycles                             |    9270000 |    9270000 |    9270000 |    9270000 |    9270000 |    9270000
  IPC                                |       1.21 |       0.34 |       0.37 |       0.31 |       0.36 |       0.39
  Time (ns)                          |    2317500 |    2317500 |    2317500 |    2317500 |    2317500 |    2317500
  Idle time (ns)                     |       1470 |    1785950 |    1786346 |    1786188 |    1786416 |    1786528
  Idle time (%)                      |       0.1% |      77.1% |      77.1% |      77.1% |      77.1% |      77.1%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1359078 |     936322 |    1064593 |     837653 |     992303 |    1125339
  num incorrect                      |      78919 |      11227 |       6897 |      14243 |      11428 |       7130
  misprediction rate                 |      5.49% |      1.18% |      0.64% |      1.67% |      1.14% |      0.63%
  mpki                               |       7.04 |       3.59 |       2.01 |       4.92 |       3.47 |       1.97
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    1669269 |      89422 |      64903 |     110466 |      88341 |      63409
    num misses                       |        173 |         26 |         26 |         28 |         26 |         26
    miss rate                        |      0.01% |      0.03% |      0.04% |      0.03% |      0.03% |      0.04%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    2764622 |     666726 |     696155 |     642517 |     692632 |     726452
    num misses                       |       1378 |        143 |        167 |        135 |        135 |        175
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.12 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       1551 |        169 |        193 |        163 |        161 |        201
    num misses                       |        579 |        141 |        141 |        136 |        138 |        138
    miss rate                        |     37.33% |     83.43% |     73.06% |     83.44% |     85.71% |     68.66%
    mpki                             |       0.05 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    1669269 |      89422 |      64903 |     110466 |      88341 |      63409
    num cache misses                 |       2735 |        172 |        173 |        181 |        174 |        172
    miss rate                        |      0.16% |      0.19% |      0.27% |      0.16% |      0.20% |      0.27%
    mpki                             |       0.24 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    2764622 |     666726 |     696155 |     642517 |     692632 |     726452
    num cache misses                 |      40779 |      16869 |      16640 |      17106 |      16741 |      16486
    miss rate                        |      1.48% |      2.53% |      2.39% |      2.66% |      2.42% |      2.27%
    mpki                             |       3.64 |       5.39 |       4.84 |       5.91 |       5.08 |       4.56
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      45795 |      17130 |      16888 |      17428 |      17563 |      17216
    num cache misses                 |      32005 |      15373 |      15293 |      15557 |      15234 |      15091
    miss rate                        |     69.89% |     89.74% |     90.56% |     89.26% |     86.74% |     87.66%
    mpki                             |       2.86 |       4.91 |       4.45 |       5.38 |       4.62 |       4.17
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34543 |      15473 |      15374 |      15701 |      15882 |      15650
    num cache misses                 |      22757 |       6322 |       6167 |       6291 |      12174 |      12046
    miss rate                        |     65.88% |     40.86% |     40.11% |     40.07% |     76.65% |     76.97%
    mpki                             |       2.03 |       2.02 |       1.79 |       2.17 |       3.69 |       3.33
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      10546 |          0 |          0 |          0 |      10492 |          0
  average dram access latency (ns)   |      61.46 |        inf |        inf |        inf |      61.45 |        inf
  average dram queueing delay        |       0.21 |       0.00 |       0.00 |       0.00 |       0.19 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10479 |        215 |        231 |        237 |         80 |         64
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2266 |       2231 |       2204 |       2217 |       2525 |       2238
