                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  131026294 |  134437677 |  134472328 |  135105897 |  143649458 |  143699433
  Cycles                             |   50891600 |   50891600 |   50891600 |   50891600 |   50891600 |   50891600
  IPC                                |       2.57 |       2.64 |       2.64 |       2.65 |       2.82 |       2.82
  Time (ns)                          |   12722900 |   12722900 |   12722900 |   12722900 |   12722900 |   12722900
  Idle time (ns)                     |       1400 |     258254 |     240782 |     235916 |     767632 |     776344
  Idle time (%)                      |       0.0% |       2.0% |       1.9% |       1.9% |       6.0% |       6.1%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    6920543 |    8209928 |    8223503 |    8434901 |   14606973 |   14623632
  num incorrect                      |      59554 |      52430 |      50056 |      50044 |      47683 |      47681
  misprediction rate                 |      0.85% |      0.63% |      0.61% |      0.59% |      0.33% |      0.32%
  mpki                               |       0.45 |       0.39 |       0.37 |       0.37 |       0.33 |       0.33
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   12210796 |   12096652 |   12096916 |   12096764 |   10997218 |   10997218
    num misses                       |        245 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   42622052 |   42958400 |   42964751 |   43070044 |   42624947 |   42633270
    num misses                       |      38391 |      37692 |      37411 |      36713 |      34316 |      33603
    miss rate                        |      0.09% |      0.09% |      0.09% |      0.09% |      0.08% |      0.08%
    mpki                             |       0.29 |       0.28 |       0.28 |       0.27 |       0.24 |       0.23
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      38636 |      37717 |      37436 |      36738 |      34341 |      33628
    num misses                       |       7834 |       6673 |       6919 |       6820 |       6144 |       6142
    miss rate                        |     20.28% |     17.69% |     18.48% |     18.56% |     17.89% |     18.26%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.05 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   12210796 |   12096652 |   12096916 |   12096764 |   10997218 |   10997218
    num cache misses                 |      13825 |       3271 |       3335 |       3344 |       3216 |       3072
    miss rate                        |      0.11% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.11 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   42622052 |   42958400 |   42964751 |   43070044 |   42624947 |   42633270
    num cache misses                 |    4794783 |    4784308 |    4786229 |    4784698 |    4348911 |    4350957
    miss rate                        |     11.25% |     11.14% |     11.14% |     11.11% |     10.20% |     10.21%
    mpki                             |      36.59 |      35.59 |      35.59 |      35.41 |      30.27 |      30.28
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    4876864 |    4853699 |    4855739 |    4854047 |    4359854 |    4361274
    num cache misses                 |     564284 |     541959 |     542452 |     541646 |     491020 |     491507
    miss rate                        |     11.57% |     11.17% |     11.17% |     11.16% |     11.26% |     11.27%
    mpki                             |       4.31 |       4.03 |       4.03 |       4.01 |       3.42 |       3.42
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     707252 |     682391 |     683078 |     680992 |     584969 |     584860
    num cache misses                 |     344316 |     329836 |     329298 |     327616 |     158598 |     161185
    miss rate                        |     48.68% |     48.34% |     48.21% |     48.11% |     27.11% |     27.56%
    mpki                             |       2.63 |       2.45 |       2.45 |       2.42 |       1.10 |       1.12
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |    1117020 |          0 |          0 |          0 |    1116023 |          0
  average dram access latency (ns)   |    1534.98 |        inf |        inf |        inf |    1574.09 |        inf
  average dram queueing delay        |    1473.73 |       0.00 |       0.00 |       0.00 |    1512.84 |       0.00
  average dram bandwidth utilization |     10.00% |      0.00% |      0.00% |      0.00% |     10.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |     147618 |     138676 |     138774 |     136815 |      38991 |      39258
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |      52753 |      52615 |      52884 |      53807 |      73896 |      75717
