                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   43171411 |    5179818 |    4809078 |    5043363 |    4125532 |    4074589 |    3944539 |    4935485 |    6410826 |    5903185 |    5950973 |    6424802
  Cycles                             |  118092800 |  118092800 |  118092800 |  118092800 |   29523200 |   29523200 |   29523200 |   29523200 |  118092800 |  118092800 |  118092800 |  118092800
  IPC                                |       0.37 |       0.04 |       0.04 |       0.04 |       0.14 |       0.14 |       0.13 |       0.17 |       0.05 |       0.05 |       0.05 |       0.05
  Time (ns)                          |   29523200 |   29523200 |   29523200 |   29523200 |   29523200 |   29523200 |   29523200 |   29523200 |   29523200 |   29523200 |   29523200 |   29523200
  Idle time (ns)                     |       1447 |   26487492 |   26411855 |   26412188 |   26381932 |   26382227 |   26383517 |   26382864 |   26413548 |   26413806 |   26413796 |   26458261
  Idle time (%)                      |       0.0% |      89.7% |      89.5% |      89.5% |      89.4% |      89.4% |      89.4% |      89.4% |      89.5% |      89.5% |      89.5% |      89.6%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    4521345 |    1576815 |    1403908 |    1503047 |    1129403 |    1100940 |    1054514 |    1471001 |    1970128 |    1761905 |    1782738 |    1987729
  num incorrect                      |     334549 |      12018 |      19777 |      16619 |      27644 |      28593 |      30105 |      16021 |      14690 |      21424 |      21039 |      12978
  misprediction rate                 |      6.89% |      0.76% |      1.39% |      1.09% |      2.39% |      2.53% |      2.78% |      1.08% |      0.74% |      1.20% |      1.17% |      0.65%
  mpki                               |       7.75 |       2.32 |       4.11 |       3.30 |       6.70 |       7.02 |       7.63 |       3.25 |       2.29 |       3.63 |       3.54 |       2.02
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    6911025 |     115754 |     167325 |     144782 |     215684 |     230974 |     226748 |     141925 |     134036 |     174501 |     166977 |     122273
    num misses                       |        171 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28 |         28
    miss rate                        |      0.00% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.00 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
