                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   10955083 |    3045828 |    3010540 |    3089087 |    2745692 |    3102839 |    3043515 |    2959444 |    2556627 |    3020394 |    2991011 |    3025741 |    2883524 |    3011826 |    3046703 |    3087444
  Cycles                             |   10973200 |   10973200 |   10973200 |   10973200 |    8229900 |    8229900 |    8229900 |    8229900 |    8229900 |   10973200 |    8229900 |   10973200 |   10973200 |    8229900 |    8229900 |   10973200
  IPC                                |       1.00 |       0.28 |       0.27 |       0.28 |       0.33 |       0.38 |       0.37 |       0.36 |       0.31 |       0.28 |       0.36 |       0.28 |       0.26 |       0.37 |       0.37 |       0.28
  Time (ns)                          |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300 |    2743300
  Idle time (ns)                     |       1511 |    2277601 |    2277821 |    2278074 |    2268139 |    2268297 |    2268423 |    2268404 |    2268522 |    2278536 |    2268336 |    2278803 |    2278840 |    2268947 |    2269160 |    2279326
  Idle time (%)                      |       0.1% |      83.0% |      83.0% |      83.0% |      82.7% |      82.7% |      82.7% |      82.7% |      82.7% |      83.1% |      82.7% |      83.1% |      83.1% |      82.7% |      82.7% |      83.1%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1323228 |     979058 |     964798 |     997095 |     858841 |    1007786 |     983737 |     947999 |     777858 |     968527 |     961083 |     972291 |     911209 |     969749 |     985590 |     996575
  num incorrect                      |      73974 |       3444 |       3775 |       2796 |       6781 |       1755 |       2456 |       3886 |       9659 |       3808 |       3331 |       3662 |       5589 |       3082 |       2463 |       2765
  misprediction rate                 |      5.29% |      0.35% |      0.39% |      0.28% |      0.78% |      0.17% |      0.25% |      0.41% |      1.23% |      0.39% |      0.35% |      0.38% |      0.61% |      0.32% |      0.25% |      0.28%
  mpki                               |       6.75 |       1.13 |       1.25 |       0.91 |       2.47 |       0.57 |       0.81 |       1.31 |       3.78 |       1.26 |       1.11 |       1.21 |       1.94 |       1.02 |       0.81 |       0.90
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1619857 |      15261 |      16472 |      15429 |      20583 |      13377 |      14107 |      16124 |      24095 |      15866 |      15755 |      15085 |      18574 |      15410 |      14021 |      14924
    num misses                       |        170 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         27 |         26 |         26 |         26 |         26 |         26
