                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11827169 |    3527606 |    3136009 |    3560904
  Cycles                             |    8468300 |    8468300 |    8468300 |    8468300
  IPC                                |       1.40 |       0.42 |       0.37 |       0.42
  Time (ns)                          |    8468300 |    8468300 |    8468300 |    8468300
  Idle time (ns)                     |       1396 |    6029707 |    6030315 |    6030884
  Idle time (%)                      |       0.0% |      71.2% |      71.2% |      71.2%
Branch predictor stats               |            |            |            |           
  num correct                        |    1424027 |    1034586 |     872773 |    1051755
  num incorrect                      |      86449 |      13819 |      19476 |      13143
  misprediction rate                 |      5.72% |      1.32% |      2.18% |      1.23%
  mpki                               |       7.31 |       3.92 |       6.21 |       3.69
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1304606 |     128990 |     161280 |     122655
    num misses                       |        174 |         28 |         26 |         26
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2643099 |     781040 |     741538 |     780605
    num misses                       |       1863 |        155 |        172 |        170
    miss rate                        |      0.07% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.16 |       0.04 |       0.05 |       0.05
  L2 TLB                             |            |            |            |           
    num accesses                     |       2037 |        183 |        198 |        196
    num misses                       |        590 |        139 |        149 |        147
    miss rate                        |     28.96% |     75.96% |     75.25% |     75.00%
    mpki                             |       0.05 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1304606 |     128990 |     161280 |     122655
    num cache misses                 |       3066 |        195 |        188 |        190
    miss rate                        |      0.24% |      0.15% |      0.12% |      0.15%
    mpki                             |       0.26 |       0.06 |       0.06 |       0.05
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2643099 |     781040 |     741538 |     780605
    num cache misses                 |      46669 |      23075 |      23371 |      23040
    miss rate                        |      1.77% |      2.95% |      3.15% |      2.95%
    mpki                             |       3.95 |       6.54 |       7.45 |       6.47
  Cache L2                           |            |            |            |           
    num cache accesses               |      51754 |      23276 |      23565 |      23235
    num cache misses                 |      38607 |      20675 |      20886 |      20674
    miss rate                        |     74.60% |     88.83% |     88.63% |     88.98%
    mpki                             |       3.26 |       5.86 |       6.66 |       5.81
  Cache L3                           |            |            |            |           
    num cache accesses               |      40822 |      20689 |      20905 |      20681
    num cache misses                 |      17585 |       1080 |       1149 |       1046
    miss rate                        |     43.08% |      5.22% |      5.50% |      5.06%
    mpki                             |       1.49 |       0.31 |       0.37 |       0.29
DRAM summary                         |            |            |            |           
  num dram accesses                  |      20804 |          0 |          0 |          0
  average dram access latency (ns)   |      61.35 |        inf |        inf |        inf
  average dram queueing delay        |       0.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10670 |        522 |        536 |        517
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
