                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |    7302735 |    7354388 |    7876290 |    7936962 |    7320841 |    7431033
  Cycles                             |   17045200 |   17045200 |   17045200 |   17045200 |    4261300 |    4261300
  IPC                                |       0.43 |       0.43 |       0.46 |       0.47 |       1.72 |       1.74
  Time (ns)                          |    4261300 |    4261300 |    4261300 |    4261300 |    4261300 |    4261300
  Idle time (ns)                     |        431 |     456971 |     457734 |     458291 |     458687 |     459083
  Idle time (%)                      |       0.0% |      10.7% |      10.7% |      10.8% |      10.8% |      10.8%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |     504749 |     700207 |    1121445 |    1153904 |    1020034 |    1090390
  num incorrect                      |       8868 |       2645 |       2578 |       2346 |       2245 |       2041
  misprediction rate                 |      1.73% |      0.38% |      0.23% |      0.20% |      0.22% |      0.19%
  mpki                               |       1.21 |       0.36 |       0.33 |       0.30 |       0.31 |       0.27
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |     824698 |     697556 |     600685 |     596409 |     569065 |     557096
    num misses                       |        272 |         28 |         28 |         28 |         28 |         29
    miss rate                        |      0.03% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    3811041 |    3528730 |    3290534 |    3283992 |    3087748 |    3063636
    num misses                       |       2050 |        683 |        678 |        614 |        560 |        365
    miss rate                        |      0.05% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01%
    mpki                             |       0.28 |       0.09 |       0.09 |       0.08 |       0.08 |       0.05
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2322 |        711 |        706 |        642 |        588 |        394
    num misses                       |        564 |        172 |        183 |        171 |        159 |        143
    miss rate                        |     24.29% |     24.19% |     25.92% |     26.64% |     27.04% |     36.29%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |     824698 |     697556 |     600685 |     596409 |     569065 |     557096
    num cache misses                 |       6949 |        414 |        416 |        422 |        835 |        606
    miss rate                        |      0.84% |      0.06% |      0.07% |      0.07% |      0.15% |      0.11%
    mpki                             |       0.95 |       0.06 |       0.05 |       0.05 |       0.11 |       0.08
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    3811041 |    3528730 |    3290534 |    3283992 |    3087748 |    3063636
    num cache misses                 |     131350 |     111375 |      97933 |      97282 |      91228 |      88548
    miss rate                        |      3.45% |      3.16% |      2.98% |      2.96% |      2.95% |      2.89%
    mpki                             |      17.99 |      15.14 |      12.43 |      12.26 |      12.46 |      11.92
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |     142497 |     114699 |     102823 |     102159 |      94854 |      90871
    num cache misses                 |      24226 |      15547 |      14608 |      14854 |      16952 |      13921
    miss rate                        |     17.00% |     13.55% |     14.21% |     14.54% |     17.87% |     15.32%
    mpki                             |       3.32 |       2.11 |       1.85 |       1.87 |       2.32 |       1.87
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      34145 |      22511 |      23270 |      24290 |      24584 |      20318
    num cache misses                 |      13617 |       3194 |       2951 |       2946 |       2529 |       2516
    miss rate                        |     39.88% |     14.19% |     12.68% |     12.13% |     10.29% |     12.38%
    mpki                             |       1.86 |       0.43 |       0.37 |       0.37 |       0.35 |       0.34
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      27639 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     380.71 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     319.46 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6804 |        220 |        192 |        197 |        154 |        107
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
