                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   21469155 |    3794729 |    4090176 |    4059616 |    3659351 |    3984828 |    3956047 |    3748328 |    4098675 |    4028213 |    3472870 |    4122760
  Cycles                             |   20846400 |   20846400 |   20846400 |   20846400 |   15634800 |   15634800 |   15634800 |   15634800 |   20846400 |   20846400 |   20846400 |   20846400
  IPC                                |       1.03 |       0.18 |       0.20 |       0.19 |       0.23 |       0.25 |       0.25 |       0.24 |       0.20 |       0.19 |       0.17 |       0.20
  Time (ns)                          |    5211600 |    5211600 |    5211600 |    5211600 |    5211600 |    5211600 |    5211600 |    5211600 |    5211600 |    5211600 |    5211600 |    5211600
  Idle time (ns)                     |       1589 |    4440531 |    4441098 |    4441330 |    4431025 |    4431469 |    4431537 |    4431600 |    4441674 |    4441924 |    4441987 |    4442011
  Idle time (%)                      |       0.0% |      85.2% |      85.2% |      85.2% |      85.0% |      85.0% |      85.0% |      85.0% |      85.2% |      85.2% |      85.2% |      85.2%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2433109 |    1160094 |    1282397 |    1270784 |    1113727 |    1248237 |    1238359 |    1151423 |    1262715 |    1232217 |    1004447 |    1273205
  num incorrect                      |     157403 |      10795 |       6872 |       7325 |      11329 |       6768 |       6842 |      10119 |      10616 |      11604 |      19354 |      10310
  misprediction rate                 |      6.08% |      0.92% |      0.53% |      0.57% |      1.01% |      0.54% |      0.55% |      0.87% |      0.83% |      0.93% |      1.89% |      0.80%
  mpki                               |       7.33 |       2.84 |       1.68 |       1.80 |       3.10 |       1.70 |       1.73 |       2.70 |       2.59 |       2.88 |       5.57 |       2.50
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3268631 |      40125 |      35641 |      35430 |      41097 |      34529 |      34996 |      38309 |      40178 |      41228 |      47886 |      38913
    num misses                       |        177 |         26 |         26 |         26 |         27 |         26 |         26 |         26 |         26 |         26 |         26 |         26
    miss rate                        |      0.01% |      0.06% |      0.07% |      0.07% |      0.07% |      0.08% |      0.07% |      0.07% |      0.06% |      0.06% |      0.05% |      0.07%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5010295 |     773768 |     805486 |     801187 |     754443 |     785716 |     782672 |     762158 |     823998 |     817208 |     758828 |     826293
    num misses                       |       2833 |        803 |        777 |        732 |        708 |        739 |        704 |        756 |        773 |        719 |        733 |        737
    miss rate                        |      0.06% |      0.10% |      0.10% |      0.09% |      0.09% |      0.09% |      0.09% |      0.10% |      0.09% |      0.09% |      0.10% |      0.09%
    mpki                             |       0.13 |       0.21 |       0.19 |       0.18 |       0.19 |       0.19 |       0.18 |       0.20 |       0.19 |       0.18 |       0.21 |       0.18
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       3010 |        829 |        803 |        758 |        735 |        765 |        730 |        782 |        799 |        745 |        759 |        763
    num misses                       |        682 |        181 |        188 |        174 |        171 |        175 |        167 |        178 |        176 |        180 |        180 |        182
    miss rate                        |     22.66% |     21.83% |     23.41% |     22.96% |     23.27% |     22.88% |     22.88% |     22.76% |     22.03% |     24.16% |     23.72% |     23.85%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    3268631 |      40125 |      35641 |      35430 |      41097 |      34529 |      34996 |      38309 |      40178 |      41228 |      47886 |      38913
    num cache misses                 |       2927 |        175 |        174 |        175 |        180 |        175 |        174 |        174 |        174 |        173 |        174 |        173
    miss rate                        |      0.09% |      0.44% |      0.49% |      0.49% |      0.44% |      0.51% |      0.50% |      0.45% |      0.43% |      0.42% |      0.36% |      0.44%
    mpki                             |       0.14 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.05 |       0.04
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    5010295 |     773768 |     805486 |     801187 |     754443 |     785716 |     782672 |     762158 |     823998 |     817208 |     758828 |     826293
    num cache misses                 |      45724 |      18306 |      18161 |      18155 |      18434 |      17972 |      18202 |      18280 |      18164 |      18149 |      18377 |      18083
    miss rate                        |      0.91% |      2.37% |      2.25% |      2.27% |      2.44% |      2.29% |      2.33% |      2.40% |      2.20% |      2.22% |      2.42% |      2.19%
    mpki                             |       2.13 |       4.82 |       4.44 |       4.47 |       5.04 |       4.51 |       4.60 |       4.88 |       4.43 |       4.51 |       5.29 |       4.39
