                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   20931684 |    3681988 |    3299755 |    3601290 |    3467558 |    3327720 |    3454305 |    3565796 |    3634201 |    3349241 |    3635560 |    3405906 |    3344167 |    2949062 |    2985568 |    3450446
  Cycles                             |   20302000 |   20302000 |   20302000 |   20302000 |   15226500 |   15226500 |   15226500 |   15226500 |   20302000 |   20302000 |   20302000 |   20302000 |   15226500 |   15226500 |   15226500 |   15226500
  IPC                                |       1.03 |       0.18 |       0.16 |       0.18 |       0.23 |       0.22 |       0.23 |       0.23 |       0.18 |       0.16 |       0.18 |       0.17 |       0.22 |       0.19 |       0.20 |       0.23
  Time (ns)                          |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500 |    5075500
  Idle time (ns)                     |       1578 |    4438911 |    4439416 |    4439639 |    4429445 |    4429436 |    4429539 |    4429867 |    4439478 |    4439932 |    4440071 |    4440174 |    4430421 |    4430441 |    4430591 |    4430718
  Idle time (%)                      |       0.0% |      87.5% |      87.5% |      87.5% |      87.3% |      87.3% |      87.3% |      87.3% |      87.5% |      87.5% |      87.5% |      87.5% |      87.3% |      87.3% |      87.3% |      87.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    2272400 |    1169937 |    1010463 |    1136666 |    1089033 |    1030997 |    1084101 |    1129924 |    1149697 |    1031659 |    1149925 |    1056962 |    1037978 |     870345 |     887345 |    1080923
  num incorrect                      |     156287 |       4517 |       9655 |       5538 |       6223 |       8114 |       6208 |       4889 |       5402 |       9105 |       5240 |       8095 |       7993 |      13905 |      13261 |       6607
  misprediction rate                 |      6.44% |      0.38% |      0.95% |      0.48% |      0.57% |      0.78% |      0.57% |      0.43% |      0.47% |      0.87% |      0.45% |      0.76% |      0.76% |      1.57% |      1.47% |      0.61%
  mpki                               |       7.47 |       1.23 |       2.93 |       1.54 |       1.79 |       2.44 |       1.80 |       1.37 |       1.49 |       2.72 |       1.44 |       2.38 |       2.39 |       4.72 |       4.44 |       1.91
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    3288467 |      44381 |      76550 |      50322 |      53440 |      65634 |      54960 |      45545 |      48924 |      73121 |      48784 |      65705 |      64794 |     100434 |      94385 |      56611
    num misses                       |        171 |         26 |         26 |         26 |         26 |         26 |         26 |         26 |         28 |         26 |         26 |         26 |         26 |         25 |         26 |         26
    miss rate                        |      0.01% |      0.06% |      0.03% |      0.05% |      0.05% |      0.04% |      0.05% |      0.06% |      0.06% |      0.04% |      0.05% |      0.04% |      0.04% |      0.02% |      0.03% |      0.05%
