                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |   30304241 |   30556623 |   30498429 |   30416615 |   30690015 |   30479956 |   30571563 |   30415186 |   30221826 |   30144248 |   29800573 |   30213018
  Cycles                             |   56550400 |   56550400 |   56550400 |   56550400 |   14137600 |   14137600 |   14137600 |   14137600 |   56550400 |   56550400 |   56550400 |   56550400
  IPC                                |       0.54 |       0.54 |       0.54 |       0.54 |       2.17 |       2.16 |       2.16 |       2.15 |       0.53 |       0.53 |       0.53 |       0.53
  Time (ns)                          |   14137600 |   14137600 |   14137600 |   14137600 |   14137600 |   14137600 |   14137600 |   14137600 |   14137600 |   14137600 |   14137600 |   14137600
  Idle time (ns)                     |     567407 |     925715 |     817505 |     715150 |     636616 |     542011 |     469247 |     469711 |     470175 |     470575 |     470975 |     472375
  Idle time (%)                      |       4.0% |       6.5% |       5.8% |       5.1% |       4.5% |       3.8% |       3.3% |       3.3% |       3.3% |       3.3% |       3.3% |       3.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    5283368 |    5682242 |    5463753 |    5526172 |    5769793 |    5615384 |    5678867 |    5547281 |    5449558 |    5387765 |    5199094 |    5551646
  num incorrect                      |      31106 |      21583 |      22774 |      24706 |      24627 |      25438 |      25398 |      25852 |      25861 |      25577 |      25407 |      22843
  misprediction rate                 |      0.59% |      0.38% |      0.42% |      0.45% |      0.43% |      0.45% |      0.45% |      0.46% |      0.47% |      0.47% |      0.49% |      0.41%
  mpki                               |       1.03 |       0.71 |       0.75 |       0.81 |       0.80 |       0.83 |       0.83 |       0.85 |       0.86 |       0.85 |       0.85 |       0.76
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1136757 |     958875 |    1021213 |    1001630 |     964030 |    1000639 |     988393 |    1016741 |    1061444 |    1068399 |    1106875 |    1036421
    num misses                       |        222 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   11167969 |   10757080 |   11000898 |   10863468 |   10705142 |   10771818 |   10741431 |   10813812 |   10820628 |   10852772 |   10883898 |   10674487
    num misses                       |       2229 |        334 |       1512 |        335 |        242 |       1500 |       1502 |        271 |        267 |        296 |       1605 |        341
    miss rate                        |      0.02% |      0.00% |      0.01% |      0.00% |      0.00% |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.01% |      0.00%
    mpki                             |       0.07 |       0.01 |       0.05 |       0.01 |       0.01 |       0.05 |       0.05 |       0.01 |       0.01 |       0.01 |       0.05 |       0.01
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |       2451 |        361 |       1539 |        362 |        269 |       1527 |       1529 |        298 |        294 |        323 |       1632 |        368
    num misses                       |        555 |        182 |        187 |        185 |        180 |        181 |        182 |        183 |        183 |        181 |        179 |        178
    miss rate                        |     22.64% |     50.42% |     12.15% |     51.10% |     66.91% |     11.85% |     11.90% |     61.41% |     62.24% |     56.04% |     10.97% |     48.37%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1136757 |     958875 |    1021213 |    1001630 |     964030 |    1000639 |     988393 |    1016741 |    1061444 |    1068399 |    1106875 |    1036421
    num cache misses                 |      12614 |        298 |        303 |        294 |        367 |        368 |        363 |        370 |        292 |        305 |        297 |        296
    miss rate                        |      1.11% |      0.03% |      0.03% |      0.03% |      0.04% |      0.04% |      0.04% |      0.04% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.42 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   11167969 |   10757080 |   11000898 |   10863468 |   10705142 |   10771818 |   10741431 |   10813812 |   10820628 |   10852772 |   10883898 |   10674487
    num cache misses                 |     838657 |     795411 |     829300 |     815554 |     788642 |     785868 |     784304 |     801793 |     797296 |     810339 |     816624 |     783446
    miss rate                        |      7.51% |      7.39% |      7.54% |      7.51% |      7.37% |      7.30% |      7.30% |      7.41% |      7.37% |      7.47% |      7.50% |      7.34%
    mpki                             |      27.67 |      26.03 |      27.19 |      26.81 |      25.70 |      25.78 |      25.65 |      26.36 |      26.38 |      26.88 |      27.40 |      25.93
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |           
