                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |  243769550 |   39910558 |   54587333 |   69266129 |   83936223 |   98614656 |  113293480 |  125872619
  Cycles                             |  300741890 |  300741890 |  300741890 |  300741890 |  228149020 |  228149020 |  228149020 |  228149020
  IPC                                |       0.81 |       0.13 |       0.18 |       0.23 |       0.37 |       0.43 |       0.50 |       0.55
  Time (ns)                          |  103704100 |  103704100 |  103704100 |  103704100 |  103704100 |  103704100 |  103704100 |  103704100
  Idle time (ns)                     |   23619368 |   90519115 |   86646790 |   83588095 |   77165909 |   74848777 |   72806923 |   71051321
  Idle time (%)                      |      22.8% |      87.3% |      83.6% |      80.6% |      74.4% |      72.2% |      70.2% |      68.5%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |   21646857 |    5410735 |    7506938 |    9603737 |   11698014 |   13794700 |   15891498 |   17388384
  num incorrect                      |       8750 |         90 |         89 |         90 |         89 |         89 |         89 |         86
  misprediction rate                 |      0.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   37799494 |        312 |        316 |        312 |        312 |        312 |        312 |        315
    num misses                       |        115 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      5.13% |      5.06% |      5.13% |      5.13% |      5.13% |      5.13% |      5.08%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |   25682755 |    6900909 |    6900450 |    6900258 |    6898820 |    6898587 |    6898410 |    6598293
    num misses                       |   18549432 |    2059202 |    2067681 |    2076005 |    2070493 |    2077967 |    2080759 |    2074766
    miss rate                        |     72.23% |     29.84% |     29.96% |     30.09% |     30.01% |     30.12% |     30.16% |     31.44%
    mpki                             |      76.09 |      51.60 |      37.88 |      29.97 |      24.67 |      21.07 |      18.37 |      16.48
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |   18549547 |    2059218 |    2067697 |    2076021 |    2070509 |    2077983 |    2080775 |    2074782
    num misses                       |   17272339 |    1910260 |    1931989 |    1943393 |    1936778 |    1952669 |    1953283 |    1945351
    miss rate                        |     93.11% |     92.77% |     93.44% |     93.61% |     93.54% |     93.97% |     93.87% |     93.76%
    mpki                             |      70.86 |      47.86 |      35.39 |      28.06 |      23.07 |      19.80 |      17.24 |      15.45
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |   37799494 |        312 |        316 |        312 |        312 |        312 |        312 |        315
    num cache misses                 |       3556 |         95 |         95 |         95 |         95 |         95 |         95 |         94
    miss rate                        |      0.01% |     30.45% |     30.06% |     30.45% |     30.45% |     30.45% |     30.45% |     29.84%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |   25682755 |    6900909 |    6900450 |    6900258 |    6898820 |    6898587 |    6898410 |    6598293
    num cache misses                 |   19206144 |    2069176 |    2084138 |    2089727 |    2091207 |    2094579 |    2094101 |    2090891
    miss rate                        |     74.78% |     29.98% |     30.20% |     30.28% |     30.31% |     30.36% |     30.36% |     31.69%
    mpki                             |      78.79 |      51.85 |      38.18 |      30.17 |      24.91 |      21.24 |      18.48 |      16.61
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |   20377141 |    3323934 |    3365003 |    3386928 |    3381320 |    3400276 |    3401093 |    3385191
    num cache misses                 |   18275143 |    1961593 |    1987584 |    2001933 |    2053590 |    2061543 |    2062954 |    2052614
    miss rate                        |     89.68% |     59.01% |     59.07% |     59.11% |     60.73% |     60.63% |     60.66% |     60.64%
    mpki                             |      74.97 |      49.15 |      36.41 |      28.90 |      24.47 |      20.91 |      18.21 |      16.31
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |   19442589 |    3216256 |    3268354 |    3299039 |    3343607 |    3367144 |    3369850 |    3346817
    num cache misses                 |   11833581 |    1250999 |    1276613 |    1293196 |    1289020 |    1304762 |    1306214 |    1293702
    miss rate                        |     60.86% |     38.90% |     39.06% |     39.20% |     38.55% |     38.75% |     38.76% |     38.65%
    mpki                             |      48.54 |      31.35 |      23.39 |      18.67 |      15.36 |      13.23 |      11.53 |      10.28
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |   31552472 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      83.07 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |      21.82 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     38.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |   11306057 |    1250953 |    1276589 |    1293171 |    1288996 |    1304740 |    1306190 |    1293669
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
