                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   21643981 |    3869679 |    3958619 |    4197333 |    3943362 |    4037828 |    3434439 |    3550289
  Cycles                             |   16629600 |   16629600 |   16629600 |   16629600 |   16629600 |   16629600 |   16629600 |   16629600
  IPC                                |       1.30 |       0.23 |       0.24 |       0.25 |       0.24 |       0.24 |       0.21 |       0.21
  Time (ns)                          |    4157400 |    4157400 |    4157400 |    4157400 |    4157400 |    4157400 |    4157400 |    4157400
  Idle time (ns)                     |       1322 |    3435073 |    3435404 |    3435530 |    3435434 |    3435388 |    3435443 |    3435698
  Idle time (%)                      |       0.0% |      82.6% |      82.6% |      82.6% |      82.6% |      82.6% |      82.6% |      82.6%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    2459874 |    1139311 |    1178103 |    1275899 |    1169929 |    1210218 |     958052 |    1008576
  num incorrect                      |     161987 |      15024 |      14003 |      10744 |      14119 |      12992 |      21377 |      19503
  misprediction rate                 |      6.18% |      1.30% |      1.17% |      0.84% |      1.19% |      1.06% |      2.18% |      1.90%
  mpki                               |       7.48 |       3.88 |       3.54 |       2.56 |       3.58 |       3.22 |       6.22 |       5.49
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2551866 |     131902 |     122534 |     104062 |     129826 |     117169 |     171346 |     160452
    num misses                       |        171 |         27 |         29 |         27 |         29 |         29 |         29 |         29
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.03% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    5087824 |     852188 |     861958 |     886659 |     860339 |     869134 |     807725 |     820312
    num misses                       |       3475 |       1079 |        999 |       1043 |       1087 |       1004 |       1042 |       1047
    miss rate                        |      0.07% |      0.13% |      0.12% |      0.12% |      0.13% |      0.12% |      0.13% |      0.13%
    mpki                             |       0.16 |       0.28 |       0.25 |       0.25 |       0.28 |       0.25 |       0.30 |       0.29
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       3646 |       1106 |       1028 |       1070 |       1116 |       1033 |       1071 |       1076
    num misses                       |        711 |        204 |        193 |        203 |        193 |        179 |        182 |        176
    miss rate                        |     19.50% |     18.44% |     18.77% |     18.97% |     17.29% |     17.33% |     16.99% |     16.36%
    mpki                             |       0.03 |       0.05 |       0.05 |       0.05 |       0.05 |       0.04 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2551866 |     131902 |     122534 |     104062 |     129826 |     117169 |     171346 |     160452
    num cache misses                 |       2748 |        173 |        179 |        172 |        180 |        178 |        178 |        177
    miss rate                        |      0.11% |      0.13% |      0.15% |      0.17% |      0.14% |      0.15% |      0.10% |      0.11%
    mpki                             |       0.13 |       0.04 |       0.05 |       0.04 |       0.05 |       0.04 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    5087824 |     852188 |     861958 |     886659 |     860339 |     869134 |     807725 |     820312
    num cache misses                 |      52942 |      26204 |      26128 |      25891 |      26144 |      26010 |      26244 |      26381
    miss rate                        |      1.04% |      3.07% |      3.03% |      2.92% |      3.04% |      2.99% |      3.25% |      3.22%
    mpki                             |       2.45 |       6.77 |       6.60 |       6.17 |       6.63 |       6.44 |       7.64 |       7.43
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      58140 |      26636 |      26570 |      26281 |      27115 |      26933 |      27307 |      27411
    num cache misses                 |      42909 |      23883 |      23855 |      23675 |      23879 |      23805 |      23977 |      24074
    miss rate                        |     73.80% |     89.66% |     89.78% |     90.08% |     88.07% |     88.39% |     87.81% |     87.83%
    mpki                             |       1.98 |       6.17 |       6.03 |       5.64 |       6.06 |       5.90 |       6.98 |       6.78
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      45713 |      24168 |      24134 |      23912 |      24685 |      24553 |      24862 |      24935
    num cache misses                 |      32537 |      13579 |      13454 |      13324 |      14459 |      14116 |      14366 |      14427
    miss rate                        |     71.18% |     56.19% |     55.75% |     55.72% |     58.57% |     57.49% |     57.78% |     57.86%
    mpki                             |       1.50 |       3.51 |       3.40 |       3.17 |       3.67 |       3.50 |       4.18 |       4.06
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      13726 |          0 |          0 |          0 |      13662 |          0 |          0 |          0
  average dram access latency (ns)   |      61.49 |        inf |        inf |        inf |      61.48 |        inf |        inf |        inf
  average dram queueing delay        |       0.24 |       0.00 |       0.00 |       0.00 |       0.23 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10564 |        282 |        256 |        256 |        206 |        189 |        206 |        201
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       3935 |       3768 |       3844 |       3796 |       4723 |       4540 |       4632 |       4626
