                                     | Core 0     | Core 1    
  Instructions                       |  380680637 |  381651213
  Cycles                             |  139892800 |  139892800
  IPC                                |       2.72 |       2.73
  Time (ns)                          |   34973200 |   34973200
  Idle time (ns)                     |        282 |     236357
  Idle time (%)                      |       0.0% |       0.7%
Branch predictor stats               |            |           
  num correct                        |   20273905 |   20737844
  num incorrect                      |     156880 |     156102
  misprediction rate                 |      0.77% |      0.75%
  mpki                               |       0.41 |       0.41
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |   35298281 |   35186781
    num misses                       |        217 |         25
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |  123447965 |  123387656
    num misses                       |     109434 |     107445
    miss rate                        |      0.09% |      0.09%
    mpki                             |       0.29 |       0.28
  L2 TLB                             |            |           
    num accesses                     |     109651 |     107470
    num misses                       |      24730 |      24092
    miss rate                        |     22.55% |     22.42%
    mpki                             |       0.06 |       0.06
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |   35298281 |   35186781
    num cache misses                 |      18158 |       7678
    miss rate                        |      0.05% |      0.02%
    mpki                             |       0.05 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |  123447965 |  123387656
    num cache misses                 |   13932068 |   13915239
    miss rate                        |     11.29% |     11.28%
    mpki                             |      36.60 |      36.46
  Cache L2                           |            |           
    num cache accesses               |   14141216 |   14112062
    num cache misses                 |    1582321 |    1562748
    miss rate                        |     11.19% |     11.07%
    mpki                             |       4.16 |       4.09
  Cache L3                           |            |           
    num cache accesses               |    2000880 |    1977789
    num cache misses                 |     859836 |     840353
    miss rate                        |     42.97% |     42.49%
    mpki                             |       2.26 |       2.20
DRAM summary                         |            |           
  num dram accesses                  |    1083142 |    1082583
  average dram access latency (ns)   |     135.47 |     135.27
  average dram queueing delay        |      74.22 |      74.02
  average dram bandwidth utilization |      3.00% |      3.00%
Coherency Traffic                    |            |           
  num loads from dram                |     361895 |     342947
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |     200611 |     210863
