                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   22000543 |    4897644 |    4621836 |    4691442 |    4300386 |    3831172
  Cycles                             |   17275600 |   17275600 |   17275600 |   17275600 |   17275600 |   17275600
  IPC                                |       1.27 |       0.28 |       0.27 |       0.27 |       0.25 |       0.22
  Time (ns)                          |    4318900 |    4318900 |    4318900 |    4318900 |    4318900 |    4318900
  Idle time (ns)                     |       1324 |    3439181 |    3439481 |    3439377 |    3439570 |    3439746
  Idle time (%)                      |       0.0% |      79.6% |      79.6% |      79.6% |      79.6% |      79.6%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2511282 |    1472145 |    1357716 |    1387987 |    1224055 |    1025123
  num incorrect                      |     169936 |      13758 |      17716 |      16504 |      21970 |      28737
  misprediction rate                 |      6.34% |      0.93% |      1.29% |      1.18% |      1.76% |      2.73%
  mpki                               |       7.72 |       2.81 |       3.83 |       3.52 |       5.11 |       7.50
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2615899 |     135018 |     158747 |     153488 |     187986 |     236116
    num misses                       |        175 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5227835 |    1061731 |    1034878 |    1040590 |    1002079 |     954841
    num misses                       |       2589 |       1366 |       1378 |       1344 |       1330 |       1362
    miss rate                        |      0.05% |      0.13% |      0.13% |      0.13% |      0.13% |      0.14%
    mpki                             |       0.12 |       0.28 |       0.30 |       0.29 |       0.31 |       0.36
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2764 |       1393 |       1405 |       1371 |       1357 |       1389
    num misses                       |        679 |        199 |        207 |        197 |        198 |        201
    miss rate                        |     24.57% |     14.29% |     14.73% |     14.37% |     14.59% |     14.47%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.04 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2615899 |     135018 |     158747 |     153488 |     187986 |     236116
    num cache misses                 |       2770 |        171 |        172 |        173 |        173 |        171
    miss rate                        |      0.11% |      0.13% |      0.11% |      0.11% |      0.09% |      0.07%
    mpki                             |       0.13 |       0.03 |       0.04 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5227835 |    1061731 |    1034878 |    1040590 |    1002079 |     954841
    num cache misses                 |      60180 |      33144 |      33336 |      33367 |      33587 |      33681
    miss rate                        |      1.15% |      3.12% |      3.22% |      3.21% |      3.35% |      3.53%
    mpki                             |       2.74 |       6.77 |       7.21 |       7.11 |       7.81 |       8.79
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65541 |      33596 |      33832 |      34553 |      34866 |      35034
    num cache misses                 |      49044 |      30047 |      30158 |      30192 |      30357 |      30418
    miss rate                        |     74.83% |     89.44% |     89.14% |     87.38% |     87.07% |     86.82%
    mpki                             |       2.23 |       6.13 |       6.53 |       6.44 |       7.06 |       7.94
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      51915 |      30359 |      30505 |      31233 |      31469 |      31603
    num cache misses                 |      36976 |      17689 |      18020 |      18958 |      19160 |      19022
    miss rate                        |     71.22% |     58.27% |     59.07% |     60.70% |     60.89% |     60.19%
    mpki                             |       1.68 |       3.61 |       3.90 |       4.04 |       4.46 |       4.97
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13611 |          0 |          0 |      13548 |          0 |          0
  average dram access latency (ns)   |      61.44 |        inf |        inf |      61.43 |        inf |        inf
  average dram queueing delay        |       0.19 |       0.00 |       0.00 |       0.18 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10548 |        348 |        374 |        253 |        254 |        241
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4861 |       4624 |       4642 |       5731 |       5767 |       5796
