                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |   54167330 |   54736371 |   54729852 |   55441036 |   45829035 |   45231847 |   47953371 |   48218369 |   55449104 |   55458421 |   55311442 |   54518310 |   44592675 |   47349897 |   45535532 |   45236043
  Cycles                             |   64871200 |   64871200 |   64871200 |   64871200 |   48653400 |   48653400 |   48653400 |   48653400 |   64871200 |   64871200 |   64871200 |   64871200 |   48653400 |   48653400 |   48653400 |   48653400
  IPC                                |       0.83 |       0.84 |       0.84 |       0.85 |       0.94 |       0.93 |       0.99 |       0.99 |       0.85 |       0.85 |       0.85 |       0.84 |       0.92 |       0.97 |       0.94 |       0.93
  Time (ns)                          |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800 |   16217800
  Idle time (ns)                     |       6599 |     204582 |     220908 |     205536 |     206870 |     207202 |     206508 |     275370 |     207118 |     207426 |     207726 |     225561 |     209334 |     208655 |     208960 |     209267
  Idle time (%)                      |       0.0% |       1.3% |       1.4% |       1.3% |       1.3% |       1.3% |       1.3% |       1.7% |       1.3% |       1.3% |       1.3% |       1.4% |       1.3% |       1.3% |       1.3% |       1.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    8391040 |    8672274 |    8671906 |    8920042 |    5931866 |    5758400 |    6672019 |    6776707 |    8956815 |    8963042 |    8922493 |    8665610 |    5602916 |    6533282 |    5943293 |    5836655
  num incorrect                      |       4827 |        482 |        557 |        518 |        536 |        538 |        557 |        525 |        479 |        588 |        528 |       1314 |       1213 |       1268 |       1263 |       1465
  misprediction rate                 |      0.06% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.02% |      0.02% |      0.02% |      0.02% |      0.03%
  mpki                               |       0.09 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.03 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    5368494 |    5314570 |    5331331 |    5333504 |    4965176 |    4960152 |    4967069 |    4956159 |    5385988 |    5385631 |    5401491 |    5409109 |    5014593 |    5013594 |    5011366 |    5049361
