                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15    
    num cache misses                 |     5513224 |     5365993 |     5010122 |     4980354 |     8490520 |     8560707 |     4834446 |     4834636 |     2700364 |     2696561 |     2681878 |     2648469 |     4542278 |     4541173 |     4483732 |     4495521
    miss rate                        |       0.67% |       0.66% |       0.61% |       0.61% |       1.10% |       1.11% |       0.92% |       0.92% |       0.47% |       0.47% |       0.47% |       0.46% |       0.87% |       0.87% |       0.86% |       0.86%
    mpki                             |        2.82 |        2.74 |        2.55 |        2.53 |        5.03 |        5.08 |        2.88 |        2.88 |        1.39 |        1.38 |        1.38 |        1.37 |        2.73 |        2.73 |        2.70 |        2.70
  Cache L2                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     6038274 |     5895204 |     5526842 |     5425995 |     8883552 |     9152392 |     5187604 |     5181579 |     3206706 |     3130730 |     3051012 |     3016801 |     4911018 |     4918575 |     4849848 |     4851758
    num cache misses                 |     1094936 |     1089128 |      995254 |      883872 |     1027679 |     1032227 |      857859 |      878037 |      917585 |      914745 |      915816 |      917175 |      937850 |      922157 |      968252 |      902640
    miss rate                        |      18.13% |      18.47% |      18.01% |      16.29% |      11.57% |      11.28% |      16.54% |      16.95% |      28.61% |      29.22% |      30.02% |      30.40% |      19.10% |      18.75% |      19.96% |      18.60%
    mpki                             |        0.56 |        0.56 |        0.51 |        0.45 |        0.61 |        0.61 |        0.51 |        0.52 |        0.47 |        0.47 |        0.47 |        0.47 |        0.56 |        0.55 |        0.58 |        0.54
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     1586216 |     1688193 |     1568890 |     1386027 |     1495957 |     1694831 |     1256588 |     1275644 |     1341126 |     1266115 |     1202551 |     1201500 |     1220776 |     1217357 |     1254219 |     1119885
    num cache misses                 |      274538 |      177856 |      177796 |      177830 |      177766 |      177795 |      156250 |      257127 |      637594 |      320139 |      148471 |      147713 |      146822 |      146848 |      188935 |      233517
    miss rate                        |      17.31% |      10.54% |      11.33% |      12.83% |      11.88% |      10.49% |      12.43% |      20.16% |      47.54% |      25.29% |      12.35% |      12.29% |      12.03% |      12.06% |      15.06% |      20.85%
    mpki                             |        0.14 |        0.09 |        0.09 |        0.09 |        0.11 |        0.11 |        0.09 |        0.15 |        0.33 |        0.16 |        0.08 |        0.08 |        0.09 |        0.09 |        0.11 |        0.14
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |       28763 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |       28733 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |     1003.86 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |     1004.23 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      942.61 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |      942.98 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |        6837 |         226 |         215 |         216 |         213 |         214 |         226 |           6 |         238 |         236 |         237 |         241 |         236 |         236 |         240 |          26
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |      222298 |      174283 |      174152 |      173984 |      174157 |      174008 |      152705 |      221060 |      633936 |      317100 |      145782 |      144724 |      144127 |      144209 |      186188 |      194696
