                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9695464 |    4391674 |   84090204 |   84063009 |   84314359 |  171982821 |  101461169 |   94889167 |   96601691 |  100975208 |  364713965 |  360892918 |  373165977 |  346465242 |    4574153
  Cycles                             |  243335180 |  243335180 |  320760010 |  243335180 |  320760010 |  320760010 |  320760010 |  243335180 |  243335180 |  320760010 |  320760010 |  320760010 |  320760010 |  243335180 |  243335180
  IPC                                |       0.04 |       0.02 |       0.26 |       0.35 |       0.26 |       0.54 |       0.32 |       0.39 |       0.40 |       0.31 |       1.14 |       1.13 |       1.16 |       1.42 |       0.02
  Time (ns)                          |  110606900 |  110606900 |  110606900 |  110606900 |  110606900 |  110606900 |  110606900 |  110606900 |  110606900 |  110606900 |  110606900 |  110606900 |  110606900 |  110606900 |  110606900
  Idle time (ns)                     |  106890117 |  108256540 |   60993348 |   61054885 |   60854199 |   11805239 |   95344475 |   93576553 |   93016982 |   95119279 |    9679920 |   10734187 |    8352193 |    8060066 |  108907214
  Idle time (%)                      |      96.6% |      97.9% |      55.1% |      55.2% |      55.0% |      10.7% |      86.2% |      84.6% |      84.1% |      86.0% |       8.8% |       9.7% |       7.6% |       7.3% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279151 |     172733 |    4227095 |    4224765 |    4237547 |    8658328 |     155329 |     144724 |     150822 |     154241 |   43559279 |   43035133 |   44580840 |   41563193 |     464214
  num incorrect                      |       7652 |        734 |        638 |        630 |        625 |       1438 |       2714 |       2624 |       2766 |       2700 |    2027646 |    2004548 |    2038679 |    2043366 |      10941
  misprediction rate                 |      0.59% |      0.42% |      0.02% |      0.01% |      0.01% |      0.02% |      1.72% |      1.78% |      1.80% |      1.72% |      4.45% |      4.45% |      4.37% |      4.69% |      2.30%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.56 |       5.55 |       5.46 |       5.90 |       2.39
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
