                                     | Core 0     | Core 1    
  Instructions                       |   48378277 |   10641761
  Cycles                             |   36579700 |   36579700
  IPC                                |       1.32 |       0.29
  Time (ns)                          |   36579700 |   36579700
  Idle time (ns)                     |       1283 |   25441486
  Idle time (%)                      |       0.0% |      69.6%
Branch predictor stats               |            |           
  num correct                        |    5256124 |    2401008
  num incorrect                      |     442607 |     113715
  misprediction rate                 |      7.77% |      4.52%
  mpki                               |       9.15 |      10.69
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    6110606 |    1031812
    num misses                       |        182 |         29
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00
  D-TLB                              |            |           
    num accesses                     |   12125320 |    3393921
    num misses                       |      37862 |      35845
    miss rate                        |      0.31% |      1.06%
    mpki                             |       0.78 |       3.37
  L2 TLB                             |            |           
    num accesses                     |      38044 |      35874
    num misses                       |        966 |        497
    miss rate                        |      2.54% |      1.39%
    mpki                             |       0.02 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    6110606 |    1031812
    num cache misses                 |       4121 |        443
    miss rate                        |      0.07% |      0.04%
    mpki                             |       0.09 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |   12125320 |    3393921
    num cache misses                 |     195091 |     162059
    miss rate                        |      1.61% |      4.77%
    mpki                             |       4.03 |      15.23
  Cache L2                           |            |           
    num cache accesses               |     201309 |     162505
    num cache misses                 |     155859 |     125863
    miss rate                        |     77.42% |     77.45%
    mpki                             |       3.22 |      11.83
  Cache L3                           |            |           
    num cache accesses               |     158011 |     125866
    num cache misses                 |      30947 |       7993
    miss rate                        |     19.59% |      6.35%
    mpki                             |       0.64 |       0.75
DRAM summary                         |            |           
  num dram accesses                  |      38917 |          0
  average dram access latency (ns)   |      61.30 |        inf
  average dram queueing delay        |       0.05 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      16665 |       6695
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
