                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |    5657967 |    5780336 |    5714714 |    5635485 |    5847225 |    5795397 |    5792826 |    5684256
  Cycles                             |    3984020 |    3984020 |    3984020 |    3984020 |    3984020 |    3984020 |    3984020 |    3984020
  IPC                                |       1.42 |       1.45 |       1.43 |       1.41 |       1.47 |       1.45 |       1.45 |       1.43
  Time (ns)                          |    1373800 |    1373800 |    1373800 |    1373800 |    1373800 |    1373800 |    1373800 |    1373800
  Idle time (ns)                     |        324 |     357220 |     359243 |     359795 |     360337 |     360878 |     361419 |     361961
  Idle time (%)                      |       0.0% |      26.0% |      26.1% |      26.2% |      26.2% |      26.3% |      26.3% |      26.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |     438036 |     676590 |     664604 |     642957 |     710557 |     698601 |     697828 |     667542
  num incorrect                      |      21656 |       5125 |       5048 |       4936 |       4725 |       4660 |       4712 |       4699
  misprediction rate                 |      4.71% |      0.75% |      0.75% |      0.76% |      0.66% |      0.66% |      0.67% |      0.70%
  mpki                               |       3.83 |       0.89 |       0.88 |       0.88 |       0.81 |       0.80 |       0.81 |       0.83
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |     624375 |     467666 |     462480 |     462253 |     458351 |     458421 |     458500 |     458104
    num misses                       |        281 |         29 |         29 |         30 |         29 |         28 |         28 |         30
    miss rate                        |      0.05% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.05 |       0.01 |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2901665 |    2471315 |    2449792 |    2438228 |    2456408 |    2444943 |    2445298 |    2427509
    num misses                       |       3037 |        408 |        379 |        432 |        431 |        351 |        333 |        247
    miss rate                        |      0.10% |      0.02% |      0.02% |      0.02% |      0.02% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.54 |       0.07 |       0.07 |       0.08 |       0.07 |       0.06 |       0.06 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       3318 |        437 |        408 |        462 |        460 |        379 |        361 |        277
    num misses                       |        644 |        155 |        152 |        156 |        159 |        152 |        150 |        140
    miss rate                        |     19.41% |     35.47% |     37.25% |     33.77% |     34.57% |     40.11% |     41.55% |     50.54%
    mpki                             |       0.11 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.03 |       0.02
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |     624375 |     467666 |     462480 |     462253 |     458351 |     458421 |     458500 |     458104
    num cache misses                 |       7276 |        395 |        385 |        388 |        386 |        375 |        375 |        385
    miss rate                        |      1.17% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08% |      0.08%
    mpki                             |       1.29 |       0.07 |       0.07 |       0.07 |       0.07 |       0.06 |       0.06 |       0.07
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2901665 |    2471315 |    2449792 |    2438228 |    2456408 |    2444943 |    2445298 |    2427509
    num cache misses                 |      65251 |      51117 |      50555 |      50550 |      50441 |      50197 |      49546 |      49108
    miss rate                        |      2.25% |      2.07% |      2.06% |      2.07% |      2.05% |      2.05% |      2.03% |      2.02%
    mpki                             |      11.53 |       8.84 |       8.85 |       8.97 |       8.63 |       8.66 |       8.55 |       8.64
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      80151 |      55287 |      53835 |      53892 |      54744 |      53533 |      52856 |      50829
    num cache misses                 |      20715 |      12907 |      14224 |      15154 |      14150 |      13911 |      13590 |      13607
    miss rate                        |     25.84% |     23.35% |     26.42% |     28.12% |     25.85% |     25.99% |     25.71% |     26.77%
    mpki                             |       3.66 |       2.23 |       2.49 |       2.69 |       2.42 |       2.40 |       2.35 |       2.39
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      32416 |      20762 |      20617 |      21633 |      21604 |      20346 |      20057 |      18828
    num cache misses                 |      14991 |       3896 |       3428 |       6848 |       9759 |       4728 |       4449 |       6163
    miss rate                        |     46.25% |     18.77% |     16.63% |     31.66% |     45.17% |     23.24% |     22.18% |     32.73%
    mpki                             |       2.65 |       0.67 |       0.60 |       1.22 |       1.67 |       0.82 |       0.77 |       1.08
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      13457 |          0 |          0 |          0 |      13357 |          0 |          0 |          0
  average dram access latency (ns)   |     294.84 |        inf |        inf |        inf |     297.80 |        inf |        inf |        inf
  average dram queueing delay        |     233.59 |       0.00 |       0.00 |       0.00 |     236.55 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |       5308 |        119 |        106 |         87 |         75 |         96 |         98 |         62
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1622 |        853 |        862 |       3876 |       6682 |       2174 |       1996 |       3579
