                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   47049311 |   48368774 |   48541046 |   48503561 |   51151426 |   51593197
  Cycles                             |   94827600 |   94827600 |   94827600 |   94827600 |   23706900 |   23706900
  IPC                                |       0.50 |       0.51 |       0.51 |       0.51 |       2.16 |       2.18
  Time (ns)                          |   23706900 |   23706900 |   23706900 |   23706900 |   23706900 |   23706900
  Idle time (ns)                     |        346 |     497824 |     501372 |     504692 |     507823 |     510978
  Idle time (%)                      |       0.0% |       2.1% |       2.1% |       2.1% |       2.1% |       2.2%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    1523290 |    2381057 |    2438246 |    2425947 |    9631189 |    9779043
  num incorrect                      |      22196 |      12427 |      12243 |      12654 |       9139 |       8734
  misprediction rate                 |      1.44% |      0.52% |      0.50% |      0.52% |      0.09% |      0.09%
  mpki                               |       0.47 |       0.26 |       0.25 |       0.26 |       0.18 |       0.17
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    4355946 |    4080009 |    4079818 |    4079818 |    2224023 |    2223877
    num misses                       |        369 |         33 |         33 |         33 |         33 |         33
    miss rate                        |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   20356643 |   19859687 |   19889070 |   19881811 |   14929460 |   15002776
    num misses                       |       7615 |       3503 |       3381 |       4252 |       3686 |       2930
    miss rate                        |      0.04% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.16 |       0.07 |       0.07 |       0.09 |       0.07 |       0.06
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       7984 |       3536 |       3414 |       4285 |       3719 |       2963
    num misses                       |        543 |        155 |        138 |        137 |        134 |        133
    miss rate                        |      6.80% |      4.38% |      4.04% |      3.20% |      3.60% |      4.49%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    4355946 |    4080009 |    4079818 |    4079818 |    2224023 |    2223877
    num cache misses                 |      69315 |      48531 |      48507 |      48523 |      48344 |      48242
    miss rate                        |      1.59% |      1.19% |      1.19% |      1.19% |      2.17% |      2.17%
    mpki                             |       1.47 |       1.00 |       1.00 |       1.00 |       0.95 |       0.94
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   20356643 |   19859687 |   19889070 |   19881811 |   14929460 |   15002776
    num cache misses                 |    1050017 |     961044 |     962333 |     967452 |     516525 |     513787
    miss rate                        |      5.16% |      4.84% |      4.84% |      4.87% |      3.46% |      3.42%
    mpki                             |      22.32 |      19.87 |      19.83 |      19.95 |      10.10 |       9.96
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    1155857 |    1044631 |    1036729 |    1065205 |     585205 |     584529
    num cache misses                 |     115953 |     104136 |     116504 |     113036 |      92877 |      77886
    miss rate                        |     10.03% |      9.97% |     11.24% |     10.61% |     15.87% |     13.32%
    mpki                             |       2.46 |       2.15 |       2.40 |       2.33 |       1.82 |       1.51
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     179389 |     170184 |     173455 |     193330 |     141650 |     120504
    num cache misses                 |      13658 |       1156 |       1184 |       1131 |       1092 |       1045
    miss rate                        |      7.61% |      0.68% |      0.68% |      0.59% |      0.77% |      0.87%
    mpki                             |       0.29 |       0.02 |       0.02 |       0.02 |       0.02 |       0.02
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      18965 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      62.61 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       1.36 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |       6710 |         54 |         45 |         40 |         50 |         44
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
