,Packed,Scatter,HPO,EPO
BC,0.0074743,0.0074899,0.0074767,0.0073214
BFS,0.0074999,0.0075009,0.0075116,0.007354
BT,0.0234865,0.0234551,0.0234814,0.0240239
CC,0.0074055,0.0074086,0.0073998,0.0072343
CG,0.0113764,0.0113586,0.0113749,0.01159
FT,0.0176351,0.0177042,0.0176447,0.0177385
IS,0.0033715,0.0033718,0.0033644,0.0034222
MG,0.002454,0.0024173,0.0024081,0.0025492
PR,0.0072594,0.0072673,0.0072623,0.0071101
SP,0.0152897,0.0153436,0.0153242,0.0157561
SSSP,0.0080754,0.0080954,0.0080789,0.0079078
TC,0.0074998,0.0074996,0.0075135,0.0073405
lavaMD,0.0003279,0.0003272,0.0003277,0.0003762
