                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9696064 |    4410597 |   84090238 |   84314681 |  171984030 |   84061967 |   92815812 |  100069550 |  100354974 |  100688299 |  344927252 |  370222387 |  369339956 |  360793712 |    4567037
  Cycles                             |  319387440 |  319387440 |  319387440 |  242293920 |  242293920 |  242293920 |  242293920 |  242293920 |  319387440 |  319387440 |  242293920 |  319387440 |  242293920 |  319387440 |  242293920
  IPC                                |       0.03 |       0.01 |       0.26 |       0.35 |       0.71 |       0.35 |       0.38 |       0.41 |       0.31 |       0.32 |       1.42 |       1.16 |       1.52 |       1.13 |       0.02
  Time (ns)                          |  110133600 |  110133600 |  110133600 |  110133600 |  110133600 |  110133600 |  110133600 |  110133600 |  110133600 |  110133600 |  110133600 |  110133600 |  110133600 |  110133600 |  110133600
  Idle time (ns)                     |  107138495 |  108014609 |   60510029 |   60306553 |   11144457 |   60573791 |   93429770 |   91900119 |   94697664 |   94659468 |    8745518 |    7310360 |    6414419 |    9344329 |  108452212
  Idle time (%)                      |      97.3% |      98.1% |      54.9% |      54.8% |      10.1% |      55.0% |      84.8% |      83.4% |      86.0% |      85.9% |       7.9% |       6.6% |       5.8% |       8.5% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279294 |     175563 |    4227096 |    4237623 |    8658486 |    4224594 |     145157 |     148960 |     154147 |     157075 |   41215746 |   44527662 |   43827117 |   43174352 |     464896
  num incorrect                      |       7645 |        730 |        640 |        622 |       1469 |        620 |       2687 |       2740 |       2709 |       2809 |    2002046 |    2113821 |    1939186 |    2058583 |       8019
  misprediction rate                 |      0.59% |      0.41% |      0.02% |      0.01% |      0.02% |      0.01% |      1.82% |      1.81% |      1.73% |      1.76% |      4.63% |      4.53% |      4.24% |      4.55% |      1.70%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.80 |       5.71 |       5.25 |       5.71 |       1.76
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529867 |     430473 |    6352665 |    6367463 |   13010260 |    6347308 |    5228385 |    5626160 |    5648817 |    5670137 |   39485736 |   42226701 |   41831974 |   41316566 |     618295
    num misses                       |        116 |         36 |         35 |         32 |         34 |         34 |         39 |         39 |         38 |         39 |         40 |         47 |         46 |         40 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    4836293 |    3848699 |   56692411 |   56848795 |  115948414 |   56681291 |   21729617 |   23382693 |   23478390 |   23564551 |  165933055 |  179554720 |  183105657 |  174869201 |    2502968
    num misses                       |      13670 |       5326 |        600 |        589 |       1168 |        585 |       2145 |       2179 |       2240 |       2265 |      24511 |      21433 |      21270 |      19056 |       3219
    miss rate                        |      0.28% |      0.14% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.13%
    mpki                             |       1.41 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.07 |       0.06 |       0.06 |       0.05 |       0.70
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |      13786 |       5362 |        635 |        621 |       1202 |        619 |       2184 |       2218 |       2278 |       2304 |      24551 |      21480 |      21316 |      19096 |       3260
    num misses                       |       5822 |       5326 |        627 |        615 |       1191 |        615 |       1720 |       1744 |       1777 |       1790 |       1833 |       2038 |       2024 |       1845 |       2217
    miss rate                        |     42.23% |     99.33% |     98.74% |     99.03% |     99.08% |     99.35% |     78.75% |     78.63% |     78.01% |     77.69% |      7.47% |      9.49% |      9.50% |      9.66% |     68.01%
    mpki                             |       0.60 |       1.21 |       0.01 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.02 |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.49
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1529867 |     430473 |    6352665 |    6367463 |   13010260 |    6347308 |    5228385 |    5626160 |    5648817 |    5670137 |   39485736 |   42226701 |   41831974 |   41316566 |     618295
    num cache misses                 |       1850 |        467 |        418 |        645 |       1071 |        650 |       1821 |       1954 |        965 |        969 |      24527 |      21791 |      25740 |      21749 |        576
    miss rate                        |      0.12% |      0.11% |      0.01% |      0.01% |      0.01% |      0.01% |      0.03% |      0.03% |      0.02% |      0.02% |      0.06% |      0.05% |      0.06% |      0.05% |      0.09%
    mpki                             |       0.19 |       0.11 |       0.00 |       0.01 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.07 |       0.06 |       0.07 |       0.06 |       0.13
  Cache L1-D                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4836293 |    3848699 |   56692411 |   56848795 |  115948414 |   56681291 |   21729617 |   23382693 |   23478390 |   23564551 |  165933055 |  179554720 |  183105657 |  174869201 |    2502968
    num cache misses                 |     169788 |     334384 |      36433 |      36641 |      74956 |      36420 |      45389 |      48310 |      48545 |      48733 |    3089879 |    2540780 |    3478799 |    2468495 |      26013
    miss rate                        |      3.51% |      8.69% |      0.06% |      0.06% |      0.06% |      0.06% |      0.21% |      0.21% |      0.21% |      0.21% |      1.86% |      1.42% |      1.90% |      1.41% |      1.04%
    mpki                             |      17.51 |      75.81 |       0.43 |       0.43 |       0.44 |       0.43 |       0.49 |       0.48 |       0.48 |       0.48 |       8.96 |       6.86 |       9.42 |       6.84 |       5.70
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     236990 |     377956 |      37198 |      37636 |      76948 |      37396 |      47992 |      51715 |      51095 |      51364 |    3116068 |    2564888 |    3506497 |    2492371 |      34940
    num cache misses                 |     159176 |     333513 |      36473 |      36812 |      74986 |      36610 |      46753 |      49783 |      49106 |      49336 |     104331 |     103231 |     116884 |      96734 |      18342
    miss rate                        |     67.17% |     88.24% |     98.05% |     97.81% |     97.45% |     97.90% |     97.42% |     96.26% |     96.11% |     96.05% |      3.35% |      4.02% |      3.33% |      3.88% |     52.50%
    mpki                             |      16.42 |      75.62 |       0.43 |       0.44 |       0.44 |       0.44 |       0.50 |       0.50 |       0.49 |       0.49 |       0.30 |       0.28 |       0.32 |       0.27 |       4.02
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     224532 |     376619 |      36820 |      37162 |      75920 |      36936 |      47535 |      51235 |      50691 |      50998 |     106035 |     105643 |     118902 |      98935 |      26693
    num cache misses                 |     156492 |     332925 |      35161 |      35033 |      20039 |      32426 |       3899 |      47079 |      47803 |      47871 |      50575 |      64522 |      59243 |      65060 |      16873
    miss rate                        |     69.70% |     88.40% |     95.49% |     94.27% |     26.39% |     87.79% |      8.20% |     91.89% |     94.30% |     93.87% |     47.70% |     61.08% |     49.83% |     65.76% |     63.21%
    mpki                             |      16.14 |      75.48 |       0.42 |       0.42 |       0.12 |       0.39 |       0.04 |       0.47 |       0.48 |       0.48 |       0.15 |       0.17 |       0.16 |       0.18 |       3.69
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     361368 |          0 |          0 |          0 |          0 |          0 |          0 |     361109 |          0 |          0 |          0 |          0 |          0 |          0 |     361250
  average dram access latency (ns)   |      61.32 |        inf |        inf |        inf |        inf |        inf |        inf |      61.27 |        inf |        inf |        inf |        inf |        inf |        inf |      61.26
  average dram queueing delay        |       0.07 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.02 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      75733 |     208940 |      33072 |      33069 |      15756 |      30662 |       1774 |       1407 |       1526 |       1520 |        522 |        929 |        823 |        662 |       3211
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
