                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   22063201 |    5005976 |    4702785 |    4801926 |    4382337 |    3868529
  Cycles                             |   17324400 |   17324400 |   17324400 |   17324400 |   17324400 |   17324400
  IPC                                |       1.27 |       0.29 |       0.27 |       0.28 |       0.25 |       0.22
  Time (ns)                          |    4331100 |    4331100 |    4331100 |    4331100 |    4331100 |    4331100
  Idle time (ns)                     |       1522 |    3440835 |    3441438 |    3441214 |    3441439 |    3441406
  Idle time (%)                      |       0.0% |      79.4% |      79.5% |      79.5% |      79.5% |      79.5%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    2516623 |    1501152 |    1375840 |    1413080 |    1235808 |    1018382
  num incorrect                      |     170923 |      13946 |      17886 |      16737 |      22303 |      29502
  misprediction rate                 |      6.36% |      0.92% |      1.28% |      1.17% |      1.77% |      2.82%
  mpki                               |       7.75 |       2.79 |       3.80 |       3.49 |       5.09 |       7.63
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |    2569572 |     100351 |     118113 |     116292 |     141630 |     179316
    num misses                       |        184 |         31 |         29 |         48 |         48 |         48
    miss rate                        |      0.01% |      0.03% |      0.02% |      0.04% |      0.03% |      0.03%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |    5247966 |    1084612 |    1053518 |    1065391 |    1026318 |     979922
    num misses                       |       2657 |       1267 |       1363 |       1376 |       1296 |       1369
    miss rate                        |      0.05% |      0.12% |      0.13% |      0.13% |      0.13% |      0.14%
    mpki                             |       0.12 |       0.25 |       0.29 |       0.29 |       0.30 |       0.35
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |       2841 |       1298 |       1392 |       1424 |       1344 |       1417
    num misses                       |        690 |        196 |        207 |        218 |        233 |        235
    miss rate                        |     24.29% |     15.10% |     14.87% |     15.31% |     17.34% |     16.58%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.05 |       0.05 |       0.06
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |    2569572 |     100351 |     118113 |     116292 |     141630 |     179316
    num cache misses                 |       2922 |        185 |        179 |        372 |        395 |        426
    miss rate                        |      0.11% |      0.18% |      0.15% |      0.32% |      0.28% |      0.24%
    mpki                             |       0.13 |       0.04 |       0.04 |       0.08 |       0.09 |       0.11
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |    5247966 |    1084612 |    1053518 |    1065391 |    1026318 |     979922
    num cache misses                 |      60423 |      33250 |      33390 |      33567 |      33988 |      35074
    miss rate                        |      1.15% |      3.07% |      3.17% |      3.15% |      3.31% |      3.58%
    mpki                             |       2.74 |       6.64 |       7.10 |       6.99 |       7.76 |       9.07
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |      65928 |      33710 |      33884 |      34956 |      35504 |      36612
    num cache misses                 |      49009 |      30172 |      30248 |      30574 |      30775 |      30950
    miss rate                        |     74.34% |     89.50% |     89.27% |     87.46% |     86.68% |     84.54%
    mpki                             |       2.22 |       6.03 |       6.43 |       6.37 |       7.02 |       8.00
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |      51850 |      30472 |      30594 |      31620 |      31902 |      32179
    num cache misses                 |      37004 |      17650 |      17998 |      19221 |      19351 |      19423
    miss rate                        |     71.37% |     57.92% |     58.83% |     60.79% |     60.66% |     60.36%
    mpki                             |       1.68 |       3.53 |       3.83 |       4.00 |       4.42 |       5.02
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |      13826 |          0 |          0 |      13756 |          0 |          0
  average dram access latency (ns)   |      61.46 |        inf |        inf |      61.42 |        inf |        inf
  average dram queueing delay        |       0.21 |       0.00 |       0.00 |       0.17 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |      10507 |        335 |        380 |        278 |        282 |        317
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       4856 |       4593 |       4643 |       5671 |       5714 |       5791
