                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
    mpki                             |       2.03 |       3.95 |       4.52 |       4.04 |       4.05 |       4.27 |       4.05 |       3.87 |       4.03 |       4.39 |       3.99 |       4.31 |       4.22 |       4.80 |       4.83 |       4.01
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      47767 |      14180 |      14553 |      14139 |      14349 |      14515 |      14307 |      14035 |      14542 |      14705 |      14454 |      14679 |      14713 |      14879 |      15040 |      14421
    num cache misses                 |      34962 |      12941 |      13112 |      12930 |      13024 |      13137 |      12997 |      12901 |      13015 |      13050 |      12942 |      13055 |      13090 |      13156 |      13240 |      12944
    miss rate                        |     73.19% |     91.26% |     90.10% |     91.45% |     90.77% |     90.51% |     90.84% |     91.92% |     89.50% |     88.75% |     89.54% |     88.94% |     88.97% |     88.42% |     88.03% |     89.76%
    mpki                             |       1.68 |       3.67 |       4.17 |       3.77 |       3.75 |       3.95 |       3.76 |       3.62 |       3.75 |       4.07 |       3.71 |       3.99 |       3.91 |       4.44 |       4.45 |       3.75
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      37939 |      13031 |      13271 |      13034 |      13134 |      13289 |      13120 |      12998 |      13386 |      13481 |      13311 |      13460 |      13498 |      13641 |      13744 |      13339
    num cache misses                 |      26314 |       6715 |       6846 |       6717 |       6807 |       6922 |       6803 |       6858 |       7267 |       7268 |       7154 |       7180 |       7305 |       7498 |       7489 |       7292
    miss rate                        |     69.36% |     51.53% |     51.59% |     51.53% |     51.83% |     52.09% |     51.85% |     52.76% |     54.29% |     53.91% |     53.75% |     53.34% |     54.12% |     54.97% |     54.49% |     54.67%
    mpki                             |       1.26 |       1.91 |       2.18 |       1.96 |       1.96 |       2.08 |       1.97 |       1.93 |       2.09 |       2.26 |       2.05 |       2.19 |       2.18 |       2.53 |       2.52 |       2.11
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      14256 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |      14168 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |      61.39 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |      61.37 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |       0.14 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.12 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10354 |        141 |        166 |        142 |        163 |        136 |        140 |        159 |        118 |        114 |        101 |        117 |        111 |        144 |        119 |        126
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2303 |       2043 |       2129 |       2062 |       2062 |       2125 |       2100 |       2067 |       2503 |       2554 |       2477 |       2523 |       2493 |       2625 |       2574 |       2533
