                                     | Core 0     | Core 1    
  Instructions                       |   24831160 |    5984656
  Cycles                             |   20456000 |   20456000
  IPC                                |       1.21 |       0.29
  Time (ns)                          |    5114000 |    5114000
  Idle time (ns)                     |       1477 |    3411808
  Idle time (%)                      |       0.0% |      66.7%
Branch predictor stats               |            |           
  num correct                        |    3121654 |    1367708
  num incorrect                      |     198839 |      66478
  misprediction rate                 |      5.99% |      4.64%
  mpki                               |       8.01 |      11.11
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3657891 |     533056
    num misses                       |        174 |         26
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6201739 |    1852037
    num misses                       |       4870 |       3753
    miss rate                        |      0.08% |      0.20%
    mpki                             |       0.20 |       0.63
  L2 TLB                             |            |           
    num accesses                     |       5044 |       3779
    num misses                       |        684 |        241
    miss rate                        |     13.56% |      6.38%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3657891 |     533056
    num cache misses                 |       2902 |        216
    miss rate                        |      0.08% |      0.04%
    mpki                             |       0.12 |       0.04
  Cache L1-D                         |            |           
    num cache accesses               |    6201739 |    1852037
    num cache misses                 |     100230 |      74797
    miss rate                        |      1.62% |      4.04%
    mpki                             |       4.04 |      12.50
  Cache L2                           |            |           
    num cache accesses               |     105277 |      75013
    num cache misses                 |      73133 |      56450
    miss rate                        |     69.47% |     75.25%
    mpki                             |       2.95 |       9.43
  Cache L3                           |            |           
    num cache accesses               |      75404 |      56500
    num cache misses                 |      22576 |       4044
    miss rate                        |     29.94% |      7.16%
    mpki                             |       0.91 |       0.68
DRAM summary                         |            |           
  num dram accesses                  |      26601 |          0
  average dram access latency (ns)   |      61.87 |        inf
  average dram queueing delay        |       0.62 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11872 |       1826
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
