                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |  310642077 |  313877751 |  309486277 |  309560628 |  292082644 |  291669028
  Cycles                             |  420419200 |  420419200 |  420419200 |  420419200 |  105104800 |  105104800
  IPC                                |       0.74 |       0.75 |       0.74 |       0.74 |       2.78 |       2.78
  Time (ns)                          |  105104800 |  105104800 |  105104800 |  105104800 |  105104800 |  105104800
  Idle time (ns)                     |      12307 |     899048 |    1518947 |    1559224 |     529795 |     698644
  Idle time (%)                      |       0.0% |       0.9% |       1.4% |       1.5% |       0.5% |       0.7%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |   18036273 |   19271212 |   29727018 |   29751991 |   23926747 |   23788867
  num incorrect                      |     116863 |     105560 |      96483 |      96483 |      96411 |      96407
  misprediction rate                 |      0.64% |      0.54% |      0.32% |      0.32% |      0.40% |      0.40%
  mpki                               |       0.38 |       0.34 |       0.31 |       0.31 |       0.33 |       0.33
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   27576914 |   27462692 |   23647351 |   23647201 |   23646709 |   23646709
    num misses                       |        245 |         25 |         25 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |  103125173 |  103431688 |   95716346 |   95728435 |   92814515 |   92745599
    num misses                       |      63936 |      64353 |      56601 |      55921 |      56064 |      54206
    miss rate                        |      0.06% |      0.06% |      0.06% |      0.06% |      0.06% |      0.06%
    mpki                             |       0.21 |       0.21 |       0.18 |       0.18 |       0.19 |       0.19
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |      64181 |      64378 |      56626 |      55946 |      56089 |      54231
    num misses                       |      18593 |      17772 |      15055 |      14839 |      15004 |      14861
    miss rate                        |     28.97% |     27.61% |     26.59% |     26.52% |     26.75% |     27.40%
    mpki                             |       0.06 |       0.06 |       0.05 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   27576914 |   27462692 |   23647351 |   23647201 |   23646709 |   23646709
    num cache misses                 |      17147 |       6245 |       5498 |       5713 |      17647 |      17649
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02% |      0.07% |      0.07%
    mpki                             |       0.06 |       0.02 |       0.02 |       0.02 |       0.06 |       0.06
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |  103125173 |  103431688 |   95716346 |   95728435 |   92814515 |   92745599
    num cache misses                 |   11599112 |   11585545 |   10002069 |   10003220 |   10003770 |   10002333
    miss rate                        |     11.25% |     11.20% |     10.45% |     10.45% |     10.78% |     10.78%
    mpki                             |      37.34 |      36.91 |      32.32 |      32.31 |      34.25 |      34.29
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |   11767561 |   11740442 |   10131684 |   10132782 |   10145431 |   10143982
    num cache misses                 |    1255594 |    1235023 |    1072034 |    1072146 |    1196036 |    1196356
    miss rate                        |     10.67% |     10.52% |     10.58% |     10.58% |     11.79% |     11.79%
    mpki                             |       4.04 |       3.93 |       3.46 |       3.46 |       4.09 |       4.10
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |    1945404 |    1932892 |    1670754 |    1658744 |    1781172 |    1787689
    num cache misses                 |    1219744 |    1210138 |    1043119 |    1036131 |    1026440 |    1030413
    miss rate                        |     62.70% |     62.61% |     62.43% |     62.46% |     57.63% |     57.64%
    mpki                             |       3.93 |       3.86 |       3.37 |       3.35 |       3.51 |       3.53
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |   12403142 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |    2479.87 |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |    2418.62 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     14.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |     817933 |     817847 |     704415 |     693353 |     694800 |     698358
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0
