                                     | Core 0     | Core 1    
  Instructions                       |   24864032 |    6005291
  Cycles                             |   20473600 |   20473600
  IPC                                |       1.21 |       0.29
  Time (ns)                          |    5118400 |    5118400
  Idle time (ns)                     |       1489 |    3412785
  Idle time (%)                      |       0.0% |      66.7%
Branch predictor stats               |            |           
  num correct                        |    3132089 |    1373247
  num incorrect                      |     198912 |      66823
  misprediction rate                 |      5.97% |      4.64%
  mpki                               |       8.00 |      11.13
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3657611 |     534964
    num misses                       |        170 |         26
    miss rate                        |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6208495 |    1855503
    num misses                       |       4800 |       3361
    miss rate                        |      0.08% |      0.18%
    mpki                             |       0.19 |       0.56
  L2 TLB                             |            |           
    num accesses                     |       4970 |       3387
    num misses                       |        718 |        256
    miss rate                        |     14.45% |      7.56%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3657611 |     534964
    num cache misses                 |       2935 |        210
    miss rate                        |      0.08% |      0.04%
    mpki                             |       0.12 |       0.03
  Cache L1-D                         |            |           
    num cache accesses               |    6208495 |    1855503
    num cache misses                 |     100545 |      74856
    miss rate                        |      1.62% |      4.03%
    mpki                             |       4.04 |      12.47
  Cache L2                           |            |           
    num cache accesses               |     105633 |      75066
    num cache misses                 |      73073 |      56499
    miss rate                        |     69.18% |     75.27%
    mpki                             |       2.94 |       9.41
  Cache L3                           |            |           
    num cache accesses               |      75352 |      56549
    num cache misses                 |      22487 |       4134
    miss rate                        |     29.84% |      7.31%
    mpki                             |       0.90 |       0.69
DRAM summary                         |            |           
  num dram accesses                  |      26598 |          0
  average dram access latency (ns)   |      61.86 |        inf
  average dram queueing delay        |       0.60 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11823 |       1849
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
