feature,importance
num_threads,0.13942307692307698
bench_class_enc,0.004807692307692346
avg_ipc,0.0211538461538462
ipc_cv,0.031730769230769285
pe_ratio,0.0057692307692308155
local_ratio,0.0211538461538462
remote_ratio,0.011538461538461598
l2_intensity,0.013461538461538502
l3_intensity,0.00961538461538467
mem_intensity,0.0019230769230769384
read_ratio,0.03750000000000003
cpi_l3_ratio,0.01634615384615389
cpi_dram_local_ratio,0.02884615384615389
cpi_dram_remote_ratio,0.011538461538461598
cpi_branch_ratio,0.018269230769230815
cpi_sync_ratio,0.029807692307692358
uop_load_ratio,0.014423076923076972
uop_store_ratio,0.006730769230769285
uop_fp_ratio,0.005769230769230804
dtlb_miss_rate,0.0028846153846154078
branch_mispredict_rate,0.023076923076923116
avg_dram_latency,0.0076923076923077535
dram_queue_ratio,0.00961538461538467
l1d_hit_ratio,0.006730769230769285
futex_wake_per_minst,0.0057692307692308155
mem_bw_mbps,0.02115384615384619
operational_intensity,0.025000000000000033
itlb_miss_rate,0.019230769230769284
stlb_miss_rate,0.014423076923076983
load_l1_ratio,0.00961538461538466
