                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   11927649 |    3608272 |    3173159 |    3626239
  Cycles                             |    8468600 |    8468600 |    8468600 |    8468600
  IPC                                |       1.41 |       0.43 |       0.37 |       0.43
  Time (ns)                          |    8468600 |    8468600 |    8468600 |    8468600
  Idle time (ns)                     |       1372 |    6002226 |    6003080 |    6003313
  Idle time (%)                      |       0.0% |      70.9% |      70.9% |      70.9%
Branch predictor stats               |            |            |            |           
  num correct                        |    1449930 |    1051116 |     870140 |    1064152
  num incorrect                      |      85983 |      14151 |      20072 |      13617
  misprediction rate                 |      5.60% |      1.33% |      2.25% |      1.26%
  mpki                               |       7.21 |       3.92 |       6.33 |       3.76
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1261164 |      55397 |      66807 |      53776
    num misses                       |        172 |         28 |         45 |         30
    miss rate                        |      0.01% |      0.05% |      0.07% |      0.06%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    2662260 |     796808 |     755402 |     794210
    num misses                       |       1718 |        180 |        207 |        168
    miss rate                        |      0.06% |      0.02% |      0.03% |      0.02%
    mpki                             |       0.14 |       0.05 |       0.07 |       0.05
  L2 TLB                             |            |            |            |           
    num accesses                     |       1890 |        208 |        252 |        198
    num misses                       |        593 |        156 |        176 |        149
    miss rate                        |     31.38% |     75.00% |     69.84% |     75.25%
    mpki                             |       0.05 |       0.04 |       0.06 |       0.04
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1261164 |      55397 |      66807 |      53776
    num cache misses                 |       3064 |        194 |        400 |        201
    miss rate                        |      0.24% |      0.35% |      0.60% |      0.37%
    mpki                             |       0.26 |       0.05 |       0.13 |       0.06
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    2662260 |     796808 |     755402 |     794210
    num cache misses                 |      46645 |      23032 |      24122 |      23032
    miss rate                        |      1.75% |      2.89% |      3.19% |      2.90%
    mpki                             |       3.91 |       6.38 |       7.60 |       6.35
  Cache L2                           |            |            |            |           
    num cache accesses               |      51886 |      23232 |      24528 |      23239
    num cache misses                 |      38543 |      20628 |      21366 |      20694
    miss rate                        |     74.28% |     88.79% |     87.11% |     89.05%
    mpki                             |       3.23 |       5.72 |       6.73 |       5.71
  Cache L3                           |            |            |            |           
    num cache accesses               |      40912 |      20641 |      21374 |      20711
    num cache misses                 |      17479 |       1015 |       1425 |       1109
    miss rate                        |     42.72% |      4.92% |      6.67% |      5.35%
    mpki                             |       1.47 |       0.28 |       0.45 |       0.31
DRAM summary                         |            |            |            |           
  num dram accesses                  |      20961 |          0 |          0 |          0
  average dram access latency (ns)   |      61.35 |        inf |        inf |        inf
  average dram queueing delay        |       0.10 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10793 |        458 |        682 |        572
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
