                                     | Core 0     | Core 1    
  Instructions                       |   12312644 |    3945642
  Cycles                             |   10614400 |   10614400
  IPC                                |       1.16 |       0.37
  Time (ns)                          |    2653600 |    2653600
  Idle time (ns)                     |       1353 |    1785366
  Idle time (%)                      |       0.1% |      67.3%
Branch predictor stats               |            |           
  num correct                        |    1547962 |    1007190
  num incorrect                      |      96584 |      32213
  misprediction rate                 |      5.87% |      3.10%
  mpki                               |       7.84 |       8.16
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1816342 |     258153
    num misses                       |        172 |         28
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    3207155 |    1080793
    num misses                       |       1365 |        192
    miss rate                        |      0.04% |      0.02%
    mpki                             |       0.11 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       1537 |        220
    num misses                       |        581 |        157
    miss rate                        |     37.80% |     71.36%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1816342 |     258153
    num cache misses                 |       2692 |        182
    miss rate                        |      0.15% |      0.07%
    mpki                             |       0.22 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    3207155 |    1080793
    num cache misses                 |      58117 |      35150
    miss rate                        |      1.81% |      3.25%
    mpki                             |       4.72 |       8.91
  Cache L2                           |            |           
    num cache accesses               |      63381 |      36936
    num cache misses                 |      43794 |      28386
    miss rate                        |     69.10% |     76.85%
    mpki                             |       3.56 |       7.19
  Cache L3                           |            |           
    num cache accesses               |      46473 |      30007
    num cache misses                 |      43165 |      28386
    miss rate                        |     92.88% |     94.60%
    mpki                             |       3.51 |       7.19
DRAM summary                         |            |           
  num dram accesses                  |      10276 |      10232
  average dram access latency (ns)   |      61.40 |      61.38
  average dram queueing delay        |       0.15 |       0.13
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10182 |         12
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |        614 |       2121
