                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  190008048 |  193208215 |  193589907 |  193457477
  Cycles                             |   71523600 |   71523600 |   71523600 |   71523600
  IPC                                |       2.66 |       2.70 |       2.71 |       2.70
  Time (ns)                          |   17880900 |   17880900 |   17880900 |   17880900
  Idle time (ns)                     |        250 |     230074 |     230435 |     230568
  Idle time (%)                      |       0.0% |       1.3% |       1.3% |       1.3%
Branch predictor stats               |            |            |            |           
  num correct                        |    9946350 |   11163082 |   11290289 |   11246333
  num incorrect                      |      83801 |      76542 |      76530 |      76521
  misprediction rate                 |      0.84% |      0.68% |      0.67% |      0.68%
  mpki                               |       0.44 |       0.40 |       0.40 |       0.40
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   17707456 |   17594420 |   17594457 |   17594306
    num misses                       |        200 |         25 |         25 |         25
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   61787323 |   62093288 |   62156929 |   62134580
    num misses                       |      55854 |      54436 |      85810 |      86369
    miss rate                        |      0.09% |      0.09% |      0.14% |      0.14%
    mpki                             |       0.29 |       0.28 |       0.44 |       0.45
  L2 TLB                             |            |            |            |           
    num accesses                     |      56054 |      54461 |      85835 |      86394
    num misses                       |      10991 |       9930 |      10040 |      10039
    miss rate                        |     19.61% |     18.23% |     11.70% |     11.62%
    mpki                             |       0.06 |       0.05 |       0.05 |       0.05
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   17707456 |   17594420 |   17594457 |   17594306
    num cache misses                 |      15039 |       4388 |       4532 |       4346
    miss rate                        |      0.08% |      0.02% |      0.03% |      0.02%
    mpki                             |       0.08 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   61787323 |   62093288 |   62156929 |   62134580
    num cache misses                 |    6970662 |    6959039 |    6958954 |    6958948
    miss rate                        |     11.28% |     11.21% |     11.20% |     11.20%
    mpki                             |      36.69 |      36.02 |      35.95 |      35.97
  Cache L2                           |            |            |            |           
    num cache accesses               |    7082894 |    7057965 |    7059014 |    7058041
    num cache misses                 |     805912 |     784995 |     785080 |     785444
    miss rate                        |     11.38% |     11.12% |     11.12% |     11.13%
    mpki                             |       4.24 |       4.06 |       4.06 |       4.06
  Cache L3                           |            |            |            |           
    num cache accesses               |    1019937 |     995039 |     996733 |     995118
    num cache misses                 |     444468 |     427207 |     428644 |     426106
    miss rate                        |     43.58% |     42.93% |     43.00% |     42.82%
    mpki                             |       2.34 |       2.21 |       2.21 |       2.20
DRAM summary                         |            |            |            |           
  num dram accesses                  |    1114679 |          0 |    1114777 |          0
  average dram access latency (ns)   |     800.15 |        inf |     808.25 |        inf
  average dram queueing delay        |     738.90 |       0.00 |     747.00 |       0.00
  average dram bandwidth utilization |      7.00% |      0.00% |      7.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |     195582 |     183436 |     178196 |     175715
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |      95436 |      98640 |     105942 |     106860
