413582,174042,150209,153994,151645,160013,155000,154415,466549,154862,149801,155547,162596,156755,151326,153117,0
397432,165171,153661,161902,154157,153954,158144,153717,460693,157116,154643,157109,156029,158714,153350,0,153117
413587,169232,154403,152923,152355,154074,147435,154965,459207,145684,151512,160684,153012,157127,0,153350,151326
341866,174649,159342,161328,150743,157069,153731,153795,470593,159549,152075,161611,149213,0,157127,158714,156755
323477,193769,153019,160904,149951,152573,149528,154862,465948,156959,155422,162316,0,149213,153012,156029,162596
390442,176851,157854,165415,155375,155797,154211,155332,469286,161324,162393,0,162316,161611,160684,157109,155547
421719,169472,151761,153923,150402,155603,154454,160810,458718,155137,0,162393,155422,152075,151512,154643,149801
399068,174105,152635,156304,149732,157628,159162,158626,466182,0,155137,161324,156959,159549,145684,157116,154862
2473538,480433,469819,466331,468674,465260,467238,473516,0,466182,458718,469286,465948,470593,459207,460693,466549
828061,179011,154656,157052,152989,154290,150880,0,473516,158626,160810,155332,154862,153795,154965,153717,154415
344498,177339,150058,161542,154780,154915,0,150880,467238,159162,154454,154211,149528,153731,147435,158144,155000
379110,172499,155808,151236,160774,0,154915,154290,465260,157628,155603,155797,152573,157069,154074,153954,160013
391976,173001,154939,156688,0,160774,154780,152989,468674,149732,150402,155375,149951,150743,152355,154157,151645
389774,176422,154612,0,156688,151236,161542,157052,466331,156304,153923,165415,160904,161328,152923,161902,153994
390431,177277,0,154612,154939,155808,150058,154656,469819,152635,151761,157854,153019,159342,154403,153661,150209
395472,0,177277,176422,173001,172499,177339,179011,480433,174105,169472,176851,193769,174649,169232,165171,174042
0,395472,390431,389774,391976,379110,344498,828061,2473538,399068,421719,390442,323477,341866,413587,397432,413582

