2487347,170689,171907,226240,168453,167666,168986,167145,154033,154624,154452,153119,169680,172208,0
2614841,161752,163417,183382,171535,170550,176505,166233,161094,163263,160782,161123,224759,0,172208
2842136,158783,157298,179799,171895,171403,174809,168207,163480,164539,163275,165725,0,224759,169680
5268533,135630,135631,156154,158900,161454,162904,166741,175934,177477,178463,0,165725,161123,153119
5464716,130372,135932,147482,159901,161880,164767,162056,177530,177030,0,178463,163275,160782,154452
4828993,138102,135844,153935,160397,164764,165011,169409,173587,0,177030,177477,164539,163263,154624
5342507,132942,135311,153484,160955,161465,165573,166169,0,173587,177530,175934,163480,161094,154033
3111733,152494,149140,182365,165488,170503,168028,0,166169,169409,162056,166741,168207,166233,167145
2804128,154249,163311,174027,171283,170395,0,168028,165573,165011,164767,162904,174809,176505,168986
2816480,160084,157613,176854,170449,0,170395,170503,161465,164764,161880,161454,171403,170550,167666
2629807,160175,164997,179606,0,170449,171283,165488,160955,160397,159901,158900,171895,171535,168453
2057200,307027,254684,0,179606,176854,174027,182365,153484,153935,147482,156154,179799,183382,226240
2056701,233260,0,254684,164997,157613,163311,149140,135311,135844,135932,135631,157298,163417,171907
2062486,0,233260,307027,160175,160084,154249,152494,132942,138102,130372,135630,158783,161752,170689
0,2062486,2056701,2057200,2629807,2816480,2804128,3111733,5342507,4828993,5464716,5268533,2842136,2614841,2487347

