6332,11493,100,0,95,0,0,1063,1,58,0,0,993,1,77,0,1100,24,0,24,0,168,590,890,377,0,0,0,2990,0,2531,1082,2119,2707,365,263,2925,2553,915,2235,16469,181,2522,743,0
4910,8828,52,0,88,0,0,896,1,857,0,0,1242,1,46,0,46,0,0,986,146,267,0,0,10,980,0,885,0,763,1703,897,877,1119,802,1524,1453,1313,660,1110,12397,1074,1442,0,743
14079,22369,2479,0,128,0,0,1349,1,66,0,0,1011,1,72,24,69,21,0,25,7491,1452,0,0,29,0,6,0,0,0,870,551,6602,1545,794,875,1596,1230,463,2807,33454,578,0,1442,2522
4918,8880,90,0,42,0,0,827,1,847,0,0,1295,1,51,0,65,0,0,1232,30,314,27,0,10,786,0,6,0,1726,257,131,165,191,731,1689,219,218,156,161,9660,0,578,1074,181
205086,21107,612,4,538,4,4,2352,5,526,4,4,1902,6,799,4,549,2031,1740,1149,2667,2649,1388,1065,4028,1021,1761,1139,3332,1223,22936,12551,44094,114682,9855,19040,252108,226574,9323,146633,0,9660,33454,12397,16469
11310,19936,86,0,1235,0,0,1358,1,45,0,0,3530,1,894,0,83,1849,2139,27,0,75,76,2,24,10,1540,14,2,0,261,281,1988,2443,434,257,4350,2749,209,0,146633,161,2807,1110,2235
4935,9500,75,0,114,0,0,813,1,53,0,0,693,1,25,0,820,21,0,25,0,144,767,1252,954,0,6,0,856,0,1056,1177,179,236,234,227,314,210,0,209,9323,156,463,660,915
11705,19287,107,0,875,11,8,996,9,68,0,8,1654,1,1219,0,72,2027,3006,27,26,181,0,2,52,0,2351,0,2,0,345,198,557,3108,378,227,4326,0,210,2749,226574,218,1230,1313,2553
14010,25618,76,0,1110,0,0,1489,1,64,0,0,4575,1,1427,0,60,2297,1456,25,1,175,0,0,30,27,2344,0,0,0,501,426,868,4054,536,293,0,4326,314,4350,252108,219,1596,1453,2925
9478,17350,101,0,241,0,0,1799,1,1683,0,0,2220,1,130,0,151,38,0,1699,431,739,0,0,20,1889,0,3945,1,287,287,244,409,374,2444,0,293,227,227,257,19040,1689,875,1524,263
5266,8000,101,0,114,0,0,1208,1,943,0,0,1020,1,24,24,73,21,0,198,288,171,0,0,12,1043,6,8,1,2343,378,252,878,508,0,2444,536,378,234,434,9855,731,794,802,365
