1408156,168576,656,5352,5758,4304,22279,13060,11713,14151,11640,83118,866036,1091606,821474,934159,818565,0
296133,1358873,8752,17400,1828,1540,76768,0,144,14200,0,289548,22260,24124,14164,153940,0,818565
105363,498241,7960,18964,8532,11384,5072,22364,25200,31036,16252,34912,41572,37052,38324,0,153940,934159
110626,515065,8516,27532,12536,8184,4912,26572,16508,31916,29988,28104,30636,45680,0,38324,14164,821474
99734,478248,9112,22864,9881,7596,3732,21232,20796,26660,24296,21988,39888,0,45680,37052,24124,1091606
99214,465388,11216,20552,9768,9044,3180,16888,17460,49644,12056,25228,0,39888,30636,41572,22260,866036
170050,1144236,2112,7168,5736,31232,228365,816,3112,15056,640,0,25228,21988,28104,34912,289548,83118
60820,412226,2920,33660,25812,29660,8,17948,12876,14344,0,640,12056,24296,29988,16252,0,11640
855471,401651,2340,28016,25092,29304,9060,8412,17908,0,14344,15056,49644,26660,31916,31036,14200,14151
59371,414388,2496,23168,35528,27769,16,17804,0,17908,12876,3112,17460,20796,16508,25200,144,11713
59818,429547,2640,27869,29796,22564,96,0,17804,8412,17948,816,16888,21232,26572,22364,0,13060
59929,2160153,2280,6108,3212,2960,0,96,16,9060,8,228365,3180,3732,4912,5072,76768,22279
39546,1053643,2132,6468,4808,0,2960,22564,27769,29304,29660,31232,9044,7596,8184,11384,1540,4304
28566,1054508,2636,7648,0,4808,3212,29796,35528,25092,25812,5736,9768,9881,12536,8532,1828,5758
40360,1054318,7404,0,7648,6468,6108,27869,23168,28016,33660,7168,20552,22864,27532,18964,17400,5352
1392,304,0,7404,2636,2132,2280,2640,2496,2340,2920,2112,11216,9112,8516,7960,8752,656
53246,0,304,1054318,1054508,1053643,2160153,429547,414388,401651,412226,1144236,465388,478248,515065,498241,1358873,168576
0,53246,1392,40360,28566,39546,59929,59818,59371,855471,60820,170050,99214,99734,110626,105363,296133,1408156

