53989716,5545692,2307824,2982422,3085510,3047721,2628377,2253820,2954856,1768608,2570282,2046614,0
69068225,6787903,2450239,3103388,4184752,4679889,4230805,2442876,3648109,2333996,3133811,0,2046614
66877081,8170870,3779575,4052170,5395689,5056257,3940005,3345680,6043803,3767321,0,3133811,2570282
46461681,4698963,2319456,2498764,2876810,2983265,2672312,2196091,2497216,0,3767321,2333996,1768608
30092743,5236908,4260605,3088614,4442401,3280991,3220796,3692372,0,2497216,6043803,3648109,2954856
34283120,5326692,3393286,2613928,3267522,2955265,3793171,0,3692372,2196091,3345680,2442876,2253820
30143150,4850135,4436965,3531284,3479992,3116614,0,3793171,3220796,2672312,3940005,4230805,2628377
28098402,6269972,4144268,3789475,5504922,0,3116614,2955265,3280991,2983265,5056257,4679889,3047721
49955418,7415095,4571405,4787822,0,5504922,3479992,3267522,4442401,2876810,5395689,4184752,3085510
32745314,5174167,4832727,0,4787822,3789475,3531284,2613928,3088614,2498764,4052170,3103388,2982422
53946287,6542269,0,4832727,4571405,4144268,4436965,3393286,4260605,2319456,3779575,2450239,2307824
30761889,0,6542269,5174167,7415095,6269972,4850135,5326692,5236908,4698963,8170870,6787903,5545692
0,30761889,53946287,32745314,49955418,28098402,30143150,34283120,30092743,46461681,66877081,69068225,53989716

