4024676,357296,157283,212046,190976,123649,189450,229400,0
3088483,345668,356018,432673,300904,485505,465362,0,229400
3958130,329727,382396,523470,748094,442971,0,465362,189450
5336801,360394,248672,552380,448046,0,442971,485505,123649
3477296,403081,324244,461188,0,448046,748094,300904,190976
3815857,350517,325329,0,461188,552380,523470,432673,212046
3723535,307541,0,325329,324244,248672,382396,356018,157283
3322658,0,307541,350517,403081,360394,329727,345668,357296
0,3322658,3723535,3815857,3477296,5336801,3958130,3088483,4024676

