14,3286509,1118899,22099317,8953412
13,3242934,1118566,21920019,8948472
12,3270924,1118566,22031979,8948472
11,3208459,1118676,21783766,8950112
10,3208964,1118566,21784139,8948472
9,3218871,1118566,21823767,8948472
8,3257402,1118566,21977891,8948472
7,3246651,1118566,21934887,8948472
6,3258650,1118566,21982883,8948472
5,3279011,1118566,22064327,8948472
4,3320388,1118566,22229835,8948472
3,3476447,1118569,22854067,8948484
2,3473660,1118566,22842923,8948472
1,3487335,1118575,22897647,8948532
0,19041121,1128951,152257092,9012573
