                                     | Core 0     | Core 1    
  Instructions                       |   25013227 |    6151822
  Cycles                             |   20220400 |   20220400
  IPC                                |       1.24 |       0.30
  Time (ns)                          |    5055100 |    5055100
  Idle time (ns)                     |       1182 |    3444199
  Idle time (%)                      |       0.0% |      68.1%
Branch predictor stats               |            |           
  num correct                        |    3149633 |    1373970
  num incorrect                      |     202050 |      67694
  misprediction rate                 |      6.03% |      4.70%
  mpki                               |       8.08 |      11.00
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    2787252 |     435695
    num misses                       |        181 |         48
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    6248676 |    1914426
    num misses                       |       5287 |       3793
    miss rate                        |      0.08% |      0.20%
    mpki                             |       0.21 |       0.62
  L2 TLB                             |            |           
    num accesses                     |       5468 |       3841
    num misses                       |        711 |        305
    miss rate                        |     13.00% |      7.94%
    mpki                             |       0.03 |       0.05
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    2787252 |     435695
    num cache misses                 |       2886 |        478
    miss rate                        |      0.10% |      0.11%
    mpki                             |       0.12 |       0.08
  Cache L1-D                         |            |           
    num cache accesses               |    6248676 |    1914426
    num cache misses                 |     100433 |      76392
    miss rate                        |      1.61% |      3.99%
    mpki                             |       4.02 |      12.42
  Cache L2                           |            |           
    num cache accesses               |     106509 |      79895
    num cache misses                 |      72845 |      56721
    miss rate                        |     68.39% |     70.99%
    mpki                             |       2.91 |       9.22
  Cache L3                           |            |           
    num cache accesses               |      76180 |      59888
    num cache misses                 |      72015 |      56693
    miss rate                        |     94.53% |     94.67%
    mpki                             |       2.88 |       9.22
DRAM summary                         |            |           
  num dram accesses                  |      13437 |      13391
  average dram access latency (ns)   |      61.37 |      61.35
  average dram queueing delay        |       0.12 |       0.10
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10310 |         20
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       1161 |       3828
