,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,best_strategy
BC,0.5581013860639847,0.6462203133308253,1.0,1.0,0.0,0.0007867279498852646,3.380802687301041e-05,0.000545700803154726,0.9892821416662697,Packed
BFS,0.5581198746247168,0.6440137703813122,1.0,1.0,0.0,0.0007895437764484109,3.0621157318159764e-05,0.0005513147434935731,0.9899495093836335,Packed
BT,2.772733320352934,0.01035579962829028,1.0,1.0,0.0,0.0028977819890872994,7.044112346213214e-07,1.0219832995631006e-05,0.9995495749113226,Packed
CC,0.5546644173661048,0.6487500779453388,1.0,1.0,0.0,0.0007899500279983704,3.503431729950292e-05,0.0005525846981466935,0.9898008044435932,Packed
CG,2.2013030803523232,0.006262942252959256,1.0,1.0,0.0,0.026620350136283763,6.931032520478092e-06,2.424483138846866e-05,0.998770257806667,Packed
FT,2.343223455883814,0.013342248312941958,1.0,1.0,0.0,0.014987607072662968,0.0008836060197920541,0.001921423723512176,0.5393934822164772,Scatter
IS,0.8830070931244625,0.0040850680541304136,1.0,1.0,0.0,0.003065262987899057,8.706601252610246e-06,0.00016483471044027306,0.9992727272727273,Packed
MG,1.6347745661182422,0.01836100209950764,1.0,1.0,0.0,0.011129343447846982,1.717243566234874e-05,0.00019014523345416715,0.9987652527600233,Packed
PR,0.5541038366559297,0.6533619537206078,1.0,1.0,0.0,0.0007955614513972031,3.25983527324963e-05,0.0005478858127299171,0.9882146081832438,Packed
SP,2.175960753426294,0.06489130423639711,1.0,1.0,0.0,0.012182708276777744,1.1696598946222342e-06,2.2560558645425466e-05,0.9993939393939394,Packed
SSSP,0.6842427426999103,0.49552750467560747,1.0,1.0,0.0,0.0006961206494448761,2.5497560513279098e-05,0.00047737663760452685,0.9822348898953616,Packed
TC,0.5648494852786975,0.6393652321486908,1.0,1.0,0.0,0.0007962174824269216,3.805775087501993e-05,0.0005435563030066504,0.989227498228207,Packed
lavaMD,0.4771809536836766,0.0,1.0,1.0,0.0,0.0046133449587635635,2.3887870336639814e-05,0.018372758272668096,1.0,Packed
