                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15   
  Instructions                       |  233296133 |   22091533 |   29429555 |   36767244 |   44113760 |   51450069 |   58791073 |   66129915 |   73459457 |   80798875 |   88137541 |   95482934 |  102830381 |  110168095 |  117497992 |  122736919
  Cycles                             |  281272740 |  213379320 |  213379320 |  213379320 |  281272740 |  213379320 |  281272740 |  281272740 |  213379320 |  213379320 |  213379320 |  213379320 |  281272740 |  281272740 |  281272740 |  281272740
  IPC                                |       0.83 |       0.10 |       0.14 |       0.17 |       0.16 |       0.24 |       0.21 |       0.24 |       0.34 |       0.38 |       0.41 |       0.45 |       0.37 |       0.39 |       0.42 |       0.44
  Time (ns)                          |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600 |   96990600
  Idle time (ns)                     |   21409823 |   89640422 |   88144722 |   86638262 |   86625671 |   83820520 |   83804302 |   82589801 |   79942151 |   78406785 |   76686694 |   75137254 |   75113749 |   73672919 |   72267874 |   71180396
  Idle time (%)                      |      22.1% |      92.4% |      90.9% |      89.3% |      89.3% |      86.4% |      86.4% |      85.2% |      82.4% |      80.8% |      79.1% |      77.5% |      77.4% |      76.0% |      74.5% |      73.4%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   20599891 |    3315615 |    4363616 |    5411523 |    6462111 |    7509592 |    8558334 |    9606580 |   10652133 |   11700533 |   12748718 |   13798954 |   14849676 |   15897590 |   16943142 |   17391401
  num incorrect                      |       8785 |         80 |         81 |         80 |         65 |         62 |         80 |         81 |         80 |         80 |         81 |         62 |         62 |         62 |         81 |         81
  misprediction rate                 |      0.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   37800621 |        233 |        233 |        233 |        154 |        154 |        238 |        233 |        233 |        233 |        233 |        154 |        154 |        154 |        233 |        234
    num misses                       |        118 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      6.87% |      6.87% |      6.87% |     10.39% |     10.39% |      6.72% |      6.87% |      6.87% |      6.87% |      6.87% |     10.39% |     10.39% |     10.39% |      6.87% |      6.84%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
