                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11   
  Instructions                       |  236785015 |   28033489 |   37807906 |   47601981 |   57386883 |   67163470 |   76948770 |   86733382 |   96519273 |  106304579 |  116096118 |  123775698
  Cycles                             |  288723420 |  288723420 |  219031560 |  288723420 |  288723420 |  219031560 |  219031560 |  219031560 |  219031560 |  219031560 |  288723420 |  219031560
  IPC                                |       0.82 |       0.10 |       0.17 |       0.16 |       0.20 |       0.31 |       0.35 |       0.40 |       0.44 |       0.49 |       0.40 |       0.57
  Time (ns)                          |   99559800 |   99559800 |   99559800 |   99559800 |   99559800 |   99559800 |   99559800 |   99559800 |   99559800 |   99559800 |   99559800 |   99559800
  Idle time (ns)                     |   22679666 |   91740816 |   87864870 |   87853909 |   85889230 |   82256260 |   80673563 |   79016083 |   77136066 |   75099856 |   74696132 |   71138891
  Idle time (%)                      |      22.8% |      92.1% |      88.3% |      88.2% |      86.3% |      82.6% |      81.0% |      79.4% |      77.5% |      75.4% |      75.0% |      71.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |   20948470 |    4014576 |    5409139 |    6809372 |    8206957 |    9602140 |   10999839 |   12397329 |   13795209 |   15192910 |   16592419 |   17388448
  num incorrect                      |       8790 |         89 |         89 |         89 |         89 |         89 |         89 |         89 |         89 |         89 |         89 |         87
  misprediction rate                 |      0.04% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                               |       0.04 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   37800105 |        312 |        312 |        312 |        312 |        312 |        312 |        317 |        312 |        312 |        312 |        314
    num misses                       |        118 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16 |         16
    miss rate                        |      0.00% |      5.13% |      5.13% |      5.13% |      5.13% |      5.13% |      5.13% |      5.05% |      5.13% |      5.13% |      5.13% |      5.10%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   23588744 |    4804727 |    4802958 |    4804024 |    4803766 |    4802307 |    4802106 |    4801823 |    4801690 |    4801490 |    4802194 |    4501178
    num misses                       |   17862115 |    1367023 |    1379488 |    1375689 |    1384374 |    1383636 |    1377879 |    1383962 |    1386646 |    1386881 |    1387737 |    1380890
    miss rate                        |     75.72% |     28.45% |     28.72% |     28.64% |     28.82% |     28.81% |     28.69% |     28.82% |     28.88% |     28.88% |     28.90% |     30.68%
    mpki                             |      75.44 |      48.76 |      36.49 |      28.90 |      24.12 |      20.60 |      17.91 |      15.96 |      14.37 |      13.05 |      11.95 |      11.16
  L2 TLB                             |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |   17862233 |    1367039 |    1379504 |    1375705 |    1384390 |    1383652 |    1377895 |    1383978 |    1386662 |    1386897 |    1387753 |    1380906
    num misses                       |   16632597 |    1264331 |    1285765 |    1283071 |    1296829 |    1295619 |    1285887 |    1300116 |    1303527 |    1300546 |    1304469 |    1293705
    miss rate                        |     93.12% |     92.49% |     93.20% |     93.27% |     93.68% |     93.64% |     93.32% |     93.94% |     94.00% |     93.77% |     94.00% |     93.69%
    mpki                             |      70.24 |      45.10 |      34.01 |      26.95 |      22.60 |      19.29 |      16.71 |      14.99 |      13.51 |      12.23 |      11.24 |      10.45
Cache Summary                        |            |            |            |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |   37800105 |        312 |        312 |        312 |        312 |        312 |        312 |        317 |        312 |        312 |        312 |        314
    num cache misses                 |       3536 |         95 |         95 |         95 |         95 |         95 |         95 |         95 |         95 |         95 |         95 |         95
