                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   23113637 |    5635991 |    5496333 |    4517967
  Cycles                             |   18342800 |   18342800 |   18342800 |   18342800
  IPC                                |       1.26 |       0.31 |       0.30 |       0.25
  Time (ns)                          |    4585700 |    4585700 |    4585700 |    4585700
  Idle time (ns)                     |       1653 |    3447037 |    3442500 |    3443383
  Idle time (%)                      |       0.0% |      75.2% |      75.1% |      75.1%
Branch predictor stats               |            |            |            |           
  num correct                        |    2786289 |    1604716 |    1536912 |    1117633
  num incorrect                      |     177546 |      24779 |      27278 |      39950
  misprediction rate                 |      5.99% |      1.52% |      1.74% |      3.45%
  mpki                               |       7.68 |       4.40 |       4.96 |       8.84
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2619520 |     168270 |     185867 |     261341
    num misses                       |        179 |         29 |         48 |         50
    miss rate                        |      0.01% |      0.02% |      0.03% |      0.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    5543695 |    1332961 |    1324785 |    1235877
    num misses                       |       3715 |       1888 |       1941 |       1909
    miss rate                        |      0.07% |      0.14% |      0.15% |      0.15%
    mpki                             |       0.16 |       0.33 |       0.35 |       0.42
  L2 TLB                             |            |            |            |           
    num accesses                     |       3894 |       1917 |       1989 |       1959
    num misses                       |        691 |        238 |        249 |        248
    miss rate                        |     17.75% |     12.42% |     12.52% |     12.66%
    mpki                             |       0.03 |       0.04 |       0.05 |       0.05
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2619520 |     168270 |     185867 |     261341
    num cache misses                 |       2777 |        178 |        385 |        428
    miss rate                        |      0.11% |      0.11% |      0.21% |      0.16%
    mpki                             |       0.12 |       0.03 |       0.07 |       0.09
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    5543695 |    1332961 |    1324785 |    1235877
    num cache misses                 |      72734 |      46013 |      46545 |      48150
    miss rate                        |      1.31% |      3.45% |      3.51% |      3.90%
    mpki                             |       3.15 |       8.16 |       8.47 |      10.66
  Cache L2                           |            |            |            |           
    num cache accesses               |      78256 |      46648 |      48408 |      50188
    num cache misses                 |      58812 |      40522 |      41098 |      41577
    miss rate                        |     75.15% |     86.87% |     84.90% |     82.84%
    mpki                             |       2.54 |       7.19 |       7.48 |       9.20
  Cache L3                           |            |            |            |           
    num cache accesses               |      61745 |      41018 |      42610 |      43275
    num cache misses                 |      45704 |      26526 |      28409 |      29004
    miss rate                        |     74.02% |     64.67% |     66.67% |     67.02%
    mpki                             |       1.98 |       4.71 |       5.17 |       6.42
DRAM summary                         |            |            |            |           
  num dram accesses                  |      13626 |          0 |      13570 |          0
  average dram access latency (ns)   |      61.39 |        inf |      61.38 |        inf
  average dram queueing delay        |       0.14 |       0.00 |       0.13 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10592 |        452 |        319 |        362
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       6073 |       5812 |       7280 |       7507
