                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5    
  Instructions                       |   96877107 |   97600712 |   98723199 |   98768774 |   98762110 |   98638452
  Cycles                             |  119408800 |  119408800 |  119408800 |  119408800 |  119408800 |  119408800
  IPC                                |       0.81 |       0.82 |       0.83 |       0.83 |       0.83 |       0.83
  Time (ns)                          |   29852200 |   29852200 |   29852200 |   29852200 |   29852200 |   29852200
  Idle time (ns)                     |       1285 |     187734 |     212407 |     248818 |     270350 |     269966
  Idle time (%)                      |       0.0% |       0.6% |       0.7% |       0.8% |       0.9% |       0.9%
Branch predictor stats               |            |            |            |            |            |           
  num correct                        |    7794248 |    8117743 |    8476370 |    8505677 |    8512497 |    8469087
  num incorrect                      |       6129 |       2547 |       2324 |       2611 |       2502 |       3024
  misprediction rate                 |      0.08% |      0.03% |      0.03% |      0.03% |      0.03% |      0.04%
  mpki                               |       0.06 |       0.03 |       0.02 |       0.03 |       0.03 |       0.03
TLB Summary                          |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |           
    num accesses                     |   13763924 |   13722199 |   13754828 |   13765006 |   13783949 |   13832650
    num misses                       |        118 |         24 |         24 |         24 |         22 |         24
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |            |            |           
    num accesses                     |   35727819 |   35718781 |   35936699 |   35909791 |   35908917 |   35900636
    num misses                       |    1716349 |    1711447 |    1712813 |    1711163 |    1711327 |    1711410
    miss rate                        |      4.80% |      4.79% |      4.77% |      4.77% |      4.77% |      4.77%
    mpki                             |      17.72 |      17.54 |      17.35 |      17.32 |      17.33 |      17.35
  L2 TLB                             |            |            |            |            |            |           
    num accesses                     |    1716467 |    1711471 |    1712837 |    1711187 |    1711349 |    1711434
    num misses                       |     698048 |     697165 |     701819 |     697898 |     701488 |     694416
    miss rate                        |     40.67% |     40.73% |     40.97% |     40.78% |     40.99% |     40.58%
    mpki                             |       7.21 |       7.14 |       7.11 |       7.07 |       7.10 |       7.04
Cache Summary                        |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |           
    num cache accesses               |   13763924 |   13722199 |   13754828 |   13765006 |   13783949 |   13832650
    num cache misses                 |       5186 |       1302 |       1297 |       1281 |       1234 |       1446
    miss rate                        |      0.04% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.05 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |            |            |           
    num cache accesses               |   35727819 |   35718781 |   35936699 |   35909791 |   35908917 |   35900636
    num cache misses                 |    1945228 |    1942991 |    1934462 |    1935382 |    1935197 |    1933180
    miss rate                        |      5.44% |      5.44% |      5.38% |      5.39% |      5.39% |      5.38%
    mpki                             |      20.08 |      19.91 |      19.59 |      19.60 |      19.59 |      19.60
  Cache L2                           |            |            |            |            |            |           
    num cache accesses               |    2096046 |    2097597 |    2081837 |    2082859 |    2079213 |    2082025
    num cache misses                 |     708934 |     701157 |     693473 |     695890 |     691361 |     695284
    miss rate                        |     33.82% |     33.43% |     33.31% |     33.41% |     33.25% |     33.39%
    mpki                             |       7.32 |       7.18 |       7.02 |       7.05 |       7.00 |       7.05
  Cache L3                           |            |            |            |            |            |           
    num cache accesses               |     854141 |     853209 |     838491 |     841419 |     832606 |     841073
    num cache misses                 |     402779 |     403519 |     396036 |     393006 |     387827 |     401315
    miss rate                        |     47.16% |     47.29% |     47.23% |     46.71% |     46.58% |     47.71%
    mpki                             |       4.16 |       4.13 |       4.01 |       3.98 |       3.93 |       4.07
DRAM summary                         |            |            |            |            |            |           
  num dram accesses                  |     925030 |          0 |          0 |     923627 |          0 |          0
  average dram access latency (ns)   |     613.05 |        inf |        inf |     615.55 |        inf |        inf
  average dram queueing delay        |     551.80 |       0.00 |       0.00 |     554.30 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      3.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |           
  num loads from dram                |     181059 |     173577 |     168954 |     166282 |     166587 |     165252
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |     148548 |     162379 |     156439 |     158230 |     153475 |     160864
