                                     | Core 0     | Core 1    
  Instructions                       |   12564318 |    3855716
  Cycles                             |    9374800 |    9374800
  IPC                                |       1.34 |       0.41
  Time (ns)                          |    9374800 |    9374800
  Idle time (ns)                     |       2054 |    6033131
  Idle time (%)                      |       0.0% |      64.4%
Branch predictor stats               |            |           
  num correct                        |    1531455 |     980682
  num incorrect                      |      99906 |      32352
  misprediction rate                 |      6.12% |      3.19%
  mpki                               |       7.95 |       8.39
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1415922 |     240030
    num misses                       |        175 |         26
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    2957843 |    1048276
    num misses                       |       2036 |        205
    miss rate                        |      0.07% |      0.02%
    mpki                             |       0.16 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       2211 |        231
    num misses                       |        609 |        155
    miss rate                        |     27.54% |     67.10%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1415922 |     240030
    num cache misses                 |       3355 |        233
    miss rate                        |      0.24% |      0.10%
    mpki                             |       0.27 |       0.06
  Cache L1-D                         |            |           
    num cache accesses               |    2957843 |    1048276
    num cache misses                 |      58251 |      35160
    miss rate                        |      1.97% |      3.35%
    mpki                             |       4.64 |       9.12
  Cache L2                           |            |           
    num cache accesses               |      63662 |      35394
    num cache misses                 |      45629 |      28463
    miss rate                        |     71.67% |     80.42%
    mpki                             |       3.63 |       7.38
  Cache L3                           |            |           
    num cache accesses               |      47758 |      28492
    num cache misses                 |      18443 |       2074
    miss rate                        |     38.62% |      7.28%
    mpki                             |       1.47 |       0.54
DRAM summary                         |            |           
  num dram accesses                  |      20510 |          0
  average dram access latency (ns)   |      61.34 |        inf
  average dram queueing delay        |       0.09 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10999 |        895
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
