                                     | Core 0     | Core 1    
  Instructions                       |   28768533 |    9646976
  Cycles                             |   21462000 |   21462000
  IPC                                |       1.34 |       0.45
  Time (ns)                          |    5365500 |    5365500
  Idle time (ns)                     |      60834 |    3470114
  Idle time (%)                      |       1.1% |      64.7%
Branch predictor stats               |            |           
  num correct                        |    3752487 |    2300992
  num incorrect                      |     210268 |      73409
  misprediction rate                 |      5.31% |      3.09%
  mpki                               |       7.31 |       7.61
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    3410945 |     408372
    num misses                       |        174 |         24
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    7043604 |    2553889
    num misses                       |      17303 |      15957
    miss rate                        |      0.25% |      0.62%
    mpki                             |       0.60 |       1.65
  L2 TLB                             |            |           
    num accesses                     |      17477 |      15981
    num misses                       |        895 |        399
    miss rate                        |      5.12% |      2.50%
    mpki                             |       0.03 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    3410945 |     408372
    num cache misses                 |       3227 |        233
    miss rate                        |      0.09% |      0.06%
    mpki                             |       0.11 |       0.02
  Cache L1-D                         |            |           
    num cache accesses               |    7043604 |    2553889
    num cache misses                 |     114174 |      82066
    miss rate                        |      1.62% |      3.21%
    mpki                             |       3.97 |       8.51
  Cache L2                           |            |           
    num cache accesses               |     121471 |      86563
    num cache misses                 |      78618 |      60455
    miss rate                        |     64.72% |     69.84%
    mpki                             |       2.73 |       6.27
  Cache L3                           |            |           
    num cache accesses               |      82828 |      64794
    num cache misses                 |      76238 |      59588
    miss rate                        |     92.04% |     91.97%
    mpki                             |       2.65 |       6.18
DRAM summary                         |            |           
  num dram accesses                  |      17826 |      17779
  average dram access latency (ns)   |      61.36 |      61.35
  average dram queueing delay        |       0.10 |       0.10
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10393 |         71
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |       2573 |       8338
