                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |   22997121 |    5587796 |    5408231 |    4428904
  Cycles                             |   18398800 |   18398800 |   18398800 |   18398800
  IPC                                |       1.25 |       0.30 |       0.29 |       0.24
  Time (ns)                          |    4599700 |    4599700 |    4599700 |    4599700
  Idle time (ns)                     |       1576 |    3466246 |    3466794 |    3466724
  Idle time (%)                      |       0.0% |      75.4% |      75.4% |      75.4%
Branch predictor stats               |            |            |            |           
  num correct                        |    2767042 |    1601004 |    1527739 |    1118380
  num incorrect                      |     179392 |      24466 |      26635 |      40273
  misprediction rate                 |      6.09% |      1.51% |      1.71% |      3.48%
  mpki                               |       7.80 |       4.38 |       4.92 |       9.09
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    2937493 |     227826 |     244692 |     329967
    num misses                       |        172 |         28 |         26 |         26
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.01
  D-TLB                              |            |            |            |           
    num accesses                     |    5512482 |    1317403 |    1297816 |    1199979
    num misses                       |       3807 |       1743 |       1797 |       1722
    miss rate                        |      0.07% |      0.13% |      0.14% |      0.14%
    mpki                             |       0.17 |       0.31 |       0.33 |       0.39
  L2 TLB                             |            |            |            |           
    num accesses                     |       3979 |       1771 |       1823 |       1748
    num misses                       |        675 |        209 |        210 |        208
    miss rate                        |     16.96% |     11.80% |     11.52% |     11.90%
    mpki                             |       0.03 |       0.04 |       0.04 |       0.05
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    2937493 |     227826 |     244692 |     329967
    num cache misses                 |       2727 |        178 |        172 |        172
    miss rate                        |      0.09% |      0.08% |      0.07% |      0.05%
    mpki                             |       0.12 |       0.03 |       0.03 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    5512482 |    1317403 |    1297816 |    1199979
    num cache misses                 |      72480 |      46017 |      46268 |      46783
    miss rate                        |      1.31% |      3.49% |      3.57% |      3.90%
    mpki                             |       3.15 |       8.24 |       8.56 |      10.56
  Cache L2                           |            |            |            |           
    num cache accesses               |      77915 |      46636 |      47933 |      48664
    num cache misses                 |      58987 |      40500 |      40773 |      41152
    miss rate                        |     75.71% |     86.84% |     85.06% |     84.56%
    mpki                             |       2.56 |       7.25 |       7.54 |       9.29
  Cache L3                           |            |            |            |           
    num cache accesses               |      61910 |      40975 |      42312 |      42864
    num cache misses                 |      45763 |      26488 |      28266 |      28528
    miss rate                        |     73.92% |     64.64% |     66.80% |     66.55%
    mpki                             |       1.99 |       4.74 |       5.23 |       6.44
DRAM summary                         |            |            |            |           
  num dram accesses                  |      13415 |          0 |      13377 |          0
  average dram access latency (ns)   |      61.39 |        inf |      61.37 |        inf
  average dram queueing delay        |       0.14 |       0.00 |       0.12 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      10600 |        440 |        293 |        345
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       6109 |       5797 |       7351 |       7376
