                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9697283 |    4410597 |   84090287 |  171984022 |   84061932 |   84314397 |   97777577 |   94407822 |  102625106 |   99115023 |  353764907 |  373413755 |  353911541 |  364192141 |    4565528
  Cycles                             |  243090100 |  320436950 |  320436950 |  243090100 |  320436950 |  320436950 |  243090100 |  243090100 |  320436950 |  320436950 |  243090100 |  320436950 |  243090100 |  320436950 |  243090100
  IPC                                |       0.04 |       0.01 |       0.26 |       0.71 |       0.26 |       0.26 |       0.40 |       0.39 |       0.32 |       0.31 |       1.46 |       1.17 |       1.46 |       1.14 |       0.02
  Time (ns)                          |  110495500 |  110495500 |  110495500 |  110495500 |  110495500 |  110495500 |  110495500 |  110495500 |  110495500 |  110495500 |  110495500 |  110495500 |  110495500 |  110495500 |  110495500
  Idle time (ns)                     |  106752778 |  108388645 |   60872020 |   11995069 |   61169895 |   60734471 |   92873950 |   93280946 |   94723544 |   95251284 |    8892913 |    7413241 |    8439622 |    8580227 |  108826898
  Idle time (%)                      |      96.6% |      98.1% |      55.1% |      10.9% |      55.4% |      55.0% |      84.1% |      84.4% |      85.7% |      86.2% |       8.0% |       6.7% |       7.6% |       7.8% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279504 |     175564 |    4227092 |    8658484 |    4224593 |    4237547 |     148043 |     147181 |     155063 |     154317 |   42414054 |   44502226 |   42203035 |   43631443 |     466656
  num incorrect                      |       7682 |        729 |        646 |       1470 |        623 |        627 |       2660 |       2747 |       2752 |       2792 |    1962482 |    2071885 |    2007931 |    2067428 |       7991
  misprediction rate                 |      0.60% |      0.41% |      0.02% |      0.02% |      0.01% |      0.01% |      1.77% |      1.83% |      1.74% |      1.78% |      4.42% |      4.45% |      4.54% |      4.52% |      1.68%
  mpki                               |       0.79 |       0.17 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.55 |       5.55 |       5.67 |       5.68 |       1.75
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529962 |     430473 |    6352680 |   13010263 |    6347322 |    6367484 |    5501228 |    5317121 |    5772966 |    5582126 |   40157255 |   42662912 |   40485641 |   41554687 |     618403
    num misses                       |        113 |         36 |         33 |         32 |         34 |         34 |         39 |         39 |         39 |         39 |         40 |         46 |         39 |         47 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
