                                     | Core 0      | Core 1     
  Instructions                       |  3938536475 |   897399678
  Cycles                             |  3856832090 |  3856832090
  IPC                                |        1.02 |        0.23
  Time (ns)                          |  1329942100 |  1329942100
  Idle time (ns)                     |   259261948 |  1070700850
  Idle time (%)                      |       19.5% |       80.5%
Branch predictor stats               |             |            
  num correct                        |   169381014 |    17365078
  num incorrect                      |     6295214 |      586413
  misprediction rate                 |       3.58% |       3.27%
  mpki                               |        1.60 |        0.65
TLB Summary                          |             |            
  I-TLB                              |             |            
    num accesses                     |   773979120 |   138992082
    num misses                       |         194 |          49
    miss rate                        |       0.00% |       0.00%
    mpki                             |        0.00 |        0.00
  D-TLB                              |             |            
    num accesses                     |  2331207686 |   567306776
    num misses                       |    13808605 |     5917498
    miss rate                        |       0.59% |       1.04%
    mpki                             |        3.51 |        6.59
  L2 TLB                             |             |            
    num accesses                     |    13808799 |     5917547
    num misses                       |     6452092 |     3082797
    miss rate                        |      46.72% |      52.10%
    mpki                             |        1.64 |        3.44
Cache Summary                        |             |            
  Cache L1-I                         |             |            
    num cache accesses               |   773979120 |   138992082
    num cache misses                 |     2646589 |       20575
    miss rate                        |       0.34% |       0.01%
    mpki                             |        0.67 |        0.02
  Cache L1-D                         |             |            
    num cache accesses               |  2331207686 |   567306776
    num cache misses                 |    20484587 |     5714934
    miss rate                        |       0.88% |       1.01%
    mpki                             |        5.20 |        6.37
  Cache L2                           |             |            
    num cache accesses               |    24351899 |     5736140
    num cache misses                 |    12674413 |     4125192
    miss rate                        |      52.05% |      71.92%
    mpki                             |        3.22 |        4.60
  Cache L3                           |             |            
    num cache accesses               |    13895933 |     4125823
    num cache misses                 |     4129460 |      882001
    miss rate                        |      29.72% |      21.38%
    mpki                             |        1.05 |        0.98
DRAM summary                         |             |            
  num dram accesses                  |     7478657 |           0
  average dram access latency (ns)   |       61.29 |         inf
  average dram queueing delay        |        0.04 |        0.00
  average dram bandwidth utilization |       0.00% |       0.00%
Coherency Traffic                    |             |            
  num loads from dram                |     3444664 |      759224
  num loads from dram cache          |           0 |           0
  num loads from remote cache        |           0 |           0
