                                     | Core 0     | Core 1    
  Instructions                       |   18585087 |   18184942
  Cycles                             |   20197600 |   20197600
  IPC                                |       0.92 |       0.90
  Time (ns)                          |    5049400 |    5049400
  Idle time (ns)                     |        225 |     187266
  Idle time (%)                      |       0.0% |       3.7%
Branch predictor stats               |            |           
  num correct                        |    1470408 |    1441998
  num incorrect                      |       7465 |       3702
  misprediction rate                 |      0.51% |      0.26%
  mpki                               |       0.40 |       0.20
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1218988 |    1146920
    num misses                       |        118 |         24
    miss rate                        |      0.01% |      0.00%
    mpki                             |       0.01 |       0.00
  D-TLB                              |            |           
    num accesses                     |    6917980 |    6663145
    num misses                       |      28920 |      23765
    miss rate                        |      0.42% |      0.36%
    mpki                             |       1.56 |       1.31
  L2 TLB                             |            |           
    num accesses                     |      29038 |      23789
    num misses                       |        618 |        294
    miss rate                        |      2.13% |      1.24%
    mpki                             |       0.03 |       0.02
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1218988 |    1146920
    num cache misses                 |       2070 |        168
    miss rate                        |      0.17% |      0.01%
    mpki                             |       0.11 |       0.01
  Cache L1-D                         |            |           
    num cache accesses               |    6917980 |    6663145
    num cache misses                 |     258657 |     247650
    miss rate                        |      3.74% |      3.72%
    mpki                             |      13.92 |      13.62
  Cache L2                           |            |           
    num cache accesses               |     281384 |     264867
    num cache misses                 |      56759 |      47553
    miss rate                        |     20.17% |     17.95%
    mpki                             |       3.05 |       2.61
  Cache L3                           |            |           
    num cache accesses               |      87833 |      76536
    num cache misses                 |      13332 |       4284
    miss rate                        |     15.18% |      5.60%
    mpki                             |       0.72 |       0.24
DRAM summary                         |            |           
  num dram accesses                  |      17608 |          0
  average dram access latency (ns)   |     420.17 |        inf
  average dram queueing delay        |     358.92 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |       6331 |         71
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
