                                     | Core 0     | Core 1    
  Instructions                       |   12558329 |    3885443
  Cycles                             |    9381300 |    9381300
  IPC                                |       1.34 |       0.41
  Time (ns)                          |    9381300 |    9381300
  Idle time (ns)                     |       1097 |    6029846
  Idle time (%)                      |       0.0% |      64.3%
Branch predictor stats               |            |           
  num correct                        |    1531381 |     990411
  num incorrect                      |     100056 |      32190
  misprediction rate                 |      6.13% |      3.15%
  mpki                               |       7.97 |       8.28
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1430895 |     284237
    num misses                       |        181 |         28
    miss rate                        |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    2953080 |    1052803
    num misses                       |       2035 |        199
    miss rate                        |      0.07% |      0.02%
    mpki                             |       0.16 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       2216 |        227
    num misses                       |        595 |        167
    miss rate                        |     26.85% |     73.57%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1430895 |     284237
    num cache misses                 |       3150 |        228
    miss rate                        |      0.22% |      0.08%
    mpki                             |       0.25 |       0.06
  Cache L1-D                         |            |           
    num cache accesses               |    2953080 |    1052803
    num cache misses                 |      58233 |      35199
    miss rate                        |      1.97% |      3.34%
    mpki                             |       4.64 |       9.06
  Cache L2                           |            |           
    num cache accesses               |      63540 |      35428
    num cache misses                 |      45722 |      28476
    miss rate                        |     71.96% |     80.38%
    mpki                             |       3.64 |       7.33
  Cache L3                           |            |           
    num cache accesses               |      47960 |      28505
    num cache misses                 |      18441 |       2090
    miss rate                        |     38.45% |      7.33%
    mpki                             |       1.47 |       0.54
DRAM summary                         |            |           
  num dram accesses                  |      20526 |          0
  average dram access latency (ns)   |      61.33 |        inf
  average dram queueing delay        |       0.08 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      11084 |        918
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |          0 |          0
