                                     | Core 0     | Core 1    
  Instructions                       |   12527421 |    3933556
  Cycles                             |   10858000 |   10858000
  IPC                                |       1.15 |       0.36
  Time (ns)                          |    2714500 |    2714500
  Idle time (ns)                     |       1401 |    1846830
  Idle time (%)                      |       0.1% |      68.0%
Branch predictor stats               |            |           
  num correct                        |    1521907 |    1006555
  num incorrect                      |     100931 |      32245
  misprediction rate                 |      6.22% |      3.10%
  mpki                               |       8.06 |       8.20
TLB Summary                          |            |           
  I-TLB                              |            |           
    num accesses                     |    1745101 |     149986
    num misses                       |        175 |         25
    miss rate                        |      0.01% |      0.02%
    mpki                             |       0.01 |       0.01
  D-TLB                              |            |           
    num accesses                     |    2948645 |    1060926
    num misses                       |       2762 |        205
    miss rate                        |      0.09% |      0.02%
    mpki                             |       0.22 |       0.05
  L2 TLB                             |            |           
    num accesses                     |       2937 |        230
    num misses                       |        615 |        154
    miss rate                        |     20.94% |     66.96%
    mpki                             |       0.05 |       0.04
Cache Summary                        |            |           
  Cache L1-I                         |            |           
    num cache accesses               |    1745101 |     149986
    num cache misses                 |       2759 |        194
    miss rate                        |      0.16% |      0.13%
    mpki                             |       0.22 |       0.05
  Cache L1-D                         |            |           
    num cache accesses               |    2948645 |    1060926
    num cache misses                 |      58035 |      35201
    miss rate                        |      1.97% |      3.32%
    mpki                             |       4.63 |       8.95
  Cache L2                           |            |           
    num cache accesses               |      63504 |      36993
    num cache misses                 |      43728 |      28374
    miss rate                        |     68.86% |     76.70%
    mpki                             |       3.49 |       7.21
  Cache L3                           |            |           
    num cache accesses               |      46544 |      29992
    num cache misses                 |      43088 |      28374
    miss rate                        |     92.57% |     94.61%
    mpki                             |       3.44 |       7.21
DRAM summary                         |            |           
  num dram accesses                  |      10233 |      10192
  average dram access latency (ns)   |      61.39 |      61.37
  average dram queueing delay        |       0.14 |       0.12
  average dram bandwidth utilization |      0.00% |      0.00%
Coherency Traffic                    |            |           
  num loads from dram                |      10311 |          9
  num loads from dram cache          |          0 |          0
  num loads from remote cache        |        623 |       2123
