                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    9742073 |    9728545 |    9723169 |    9684431
  Cycles                             |   11704400 |   11704400 |   11704400 |   11704400
  IPC                                |       0.83 |       0.83 |       0.83 |       0.83
  Time (ns)                          |    2926100 |    2926100 |    2926100 |    2926100
  Idle time (ns)                     |        230 |     186182 |     186613 |     186816
  Idle time (%)                      |       0.0% |       6.4% |       6.4% |       6.4%
Branch predictor stats               |            |            |            |           
  num correct                        |     811505 |     891721 |     889296 |     877671
  num incorrect                      |       4853 |       1881 |       2044 |       2242
  misprediction rate                 |      0.59% |      0.21% |      0.23% |      0.25%
  mpki                               |       0.50 |       0.19 |       0.21 |       0.23
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |     676768 |     614920 |     605233 |     585725
    num misses                       |        118 |         24 |         24 |         24
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.01 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    3639683 |    3491315 |    3497495 |    3493664
    num misses                       |      14911 |      13559 |      12877 |      12498
    miss rate                        |      0.41% |      0.39% |      0.37% |      0.36%
    mpki                             |       1.53 |       1.39 |       1.32 |       1.29
  L2 TLB                             |            |            |            |           
    num accesses                     |      15029 |      13583 |      12901 |      12522
    num misses                       |        629 |        273 |        302 |        291
    miss rate                        |      4.19% |      2.01% |      2.34% |      2.32%
    mpki                             |       0.06 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |     676768 |     614920 |     605233 |     585725
    num cache misses                 |       1917 |        142 |        142 |        144
    miss rate                        |      0.28% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.20 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    3639683 |    3491315 |    3497495 |    3493664
    num cache misses                 |     150692 |     139476 |     137913 |     139391
    miss rate                        |      4.14% |      3.99% |      3.94% |      3.99%
    mpki                             |      15.47 |      14.34 |      14.18 |      14.39
  Cache L2                           |            |            |            |           
    num cache accesses               |     173896 |     155729 |     153877 |     156754
    num cache misses                 |      56634 |      48243 |      48110 |      47209
    miss rate                        |     32.57% |     30.98% |     31.27% |     30.12%
    mpki                             |       5.81 |       4.96 |       4.95 |       4.87
  Cache L3                           |            |            |            |           
    num cache accesses               |      84838 |      70799 |      70238 |      70970
    num cache misses                 |      11376 |       2168 |       2151 |       2184
    miss rate                        |     13.41% |      3.06% |      3.06% |      3.08%
    mpki                             |       1.17 |       0.22 |       0.22 |       0.23
DRAM summary                         |            |            |            |           
  num dram accesses                  |      17863 |          0 |          0 |          0
  average dram access latency (ns)   |     523.39 |        inf |        inf |        inf
  average dram queueing delay        |     462.14 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6285 |         50 |         49 |         44
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
