                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8    
  Instructions                       |    9653956 |    4779758 |   84314318 |  340124258 |  198346651 |  195565020 |  739741377 |  705501775 |    4555635
  Cycles                             |  464449920 |  464449920 |  464449920 |  612229440 |  612229440 |  464449920 |  612229440 |  612229440 |  464449920
  IPC                                |       0.02 |       0.01 |       0.18 |       0.56 |       0.32 |       0.42 |       1.21 |       1.15 |       0.01
  Time (ns)                          |  211113600 |  211113600 |  211113600 |  211113600 |  211113600 |  211113600 |  211113600 |  211113600 |  211113600
  Idle time (ns)                     |  208653313 |  208576053 |  161271665 |   14889518 |  178462660 |  173167154 |    6435010 |    8941509 |  209553276
  Idle time (%)                      |      98.8% |      98.8% |      76.4% |       7.1% |      84.5% |      82.0% |       3.0% |       4.2% |      99.3%
Branch predictor stats               |            |            |            |            |            |            |            |            |           
  num correct                        |    1275493 |     237088 |    4237498 |   17108494 |     301344 |     302028 |   87680522 |   85074250 |     465993
  num incorrect                      |       7618 |        724 |        662 |       2518 |       5153 |       4998 |    3937859 |    4158063 |       8290
  misprediction rate                 |      0.59% |      0.30% |      0.02% |      0.01% |      1.68% |      1.63% |      4.30% |      4.66% |      1.75%
  mpki                               |       0.79 |       0.15 |       0.01 |       0.01 |       0.03 |       0.03 |       5.32 |       5.89 |       1.82
TLB Summary                          |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    1524596 |     430466 |    6367455 |   25709193 |   11159976 |   11012054 |   84129751 |   80726218 |     616691
    num misses                       |        116 |         35 |         32 |         36 |         37 |         39 |         47 |         46 |         41
    miss rate                        |      0.01% |      0.01% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |            |           
    num accesses                     |    4811981 |    4094768 |   56848740 |  229315690 |   46380150 |   45766662 |  365110319 |  338334657 |    2496282
    num misses                       |      11292 |       5328 |        601 |       3578 |       4357 |       4241 |      44508 |      40090 |       2805
    miss rate                        |      0.23% |      0.13% |      0.00% |      0.00% |      0.01% |      0.01% |      0.01% |      0.01% |      0.11%
    mpki                             |       1.17 |       1.11 |       0.01 |       0.01 |       0.02 |       0.02 |       0.06 |       0.06 |       0.62
  L2 TLB                             |            |            |            |            |            |            |            |            |           
    num accesses                     |      11408 |       5363 |        633 |       3614 |       4394 |       4280 |      44555 |      40136 |       2846
    num misses                       |       3176 |       5323 |        619 |       2274 |       3400 |       3327 |       3922 |       3560 |       1969
    miss rate                        |     27.84% |     99.25% |     97.79% |     62.92% |     77.38% |     77.73% |      8.80% |      8.87% |     69.18%
    mpki                             |       0.33 |       1.11 |       0.01 |       0.01 |       0.02 |       0.02 |       0.01 |       0.01 |       0.43
Cache Summary                        |            |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    1524596 |     430466 |    6367455 |   25709193 |   11159976 |   11012054 |   84129751 |   80726218 |     616691
    num cache misses                 |       1922 |        551 |        612 |        931 |       1453 |       4146 |      33176 |      34893 |        542
    miss rate                        |      0.13% |      0.13% |      0.01% |      0.00% |      0.01% |      0.04% |      0.04% |      0.04% |      0.09%
    mpki                             |       0.20 |       0.12 |       0.01 |       0.00 |       0.01 |       0.02 |       0.04 |       0.05 |       0.12
  Cache L1-D                         |            |            |            |            |            |            |            |            |           
    num cache accesses               |    4811981 |    4094768 |   56848740 |  229315690 |   46380150 |   45766662 |  365110319 |  338334657 |    2496282
    num cache misses                 |     170537 |     334406 |      36342 |     145459 |      95302 |      94684 |    5268250 |    4739113 |      24819
    miss rate                        |      3.54% |      8.17% |      0.06% |      0.06% |      0.21% |      0.21% |      1.44% |      1.40% |      0.99%
    mpki                             |      17.66 |      69.96 |       0.43 |       0.43 |       0.48 |       0.48 |       7.12 |       6.72 |       5.45
  Cache L2                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     180669 |     501106 |      37384 |     148132 |      99784 |     101942 |    5306443 |    4779421 |      33462
    num cache misses                 |     160713 |     333601 |      36463 |     144694 |      95808 |      97069 |     190737 |     173358 |      17402
    miss rate                        |     88.95% |     66.57% |     97.54% |     97.68% |     96.02% |     95.22% |      3.59% |      3.63% |     52.01%
    mpki                             |      16.65 |      69.79 |       0.43 |       0.43 |       0.48 |       0.50 |       0.26 |       0.25 |       3.82
  Cache L3                           |            |            |            |            |            |            |            |            |           
    num cache accesses               |     168935 |     499751 |      36897 |     146522 |      98837 |     100181 |     195825 |     178848 |      25503
    num cache misses                 |      89341 |     333167 |      35888 |     143691 |      94661 |      93577 |     178919 |     160415 |      16450
    miss rate                        |     52.88% |     66.67% |     97.27% |     98.07% |     95.77% |     93.41% |     91.37% |     89.69% |     64.50%
    mpki                             |       9.25 |      69.70 |       0.43 |       0.42 |       0.48 |       0.48 |       0.24 |       0.23 |       3.61
DRAM summary                         |            |            |            |            |            |            |            |            |           
