                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |    9510464 |    9664049 |    9771278 |    9683329
  Cycles                             |    5904800 |    5904800 |    5904800 |    5904800
  IPC                                |       1.61 |       1.64 |       1.65 |       1.64
  Time (ns)                          |    1476200 |    1476200 |    1476200 |    1476200
  Idle time (ns)                     |        378 |     232912 |     233264 |     233382
  Idle time (%)                      |       0.0% |      15.8% |      15.8% |      15.8%
Branch predictor stats               |            |            |            |           
  num correct                        |     647103 |     911497 |     956920 |     928563
  num incorrect                      |       9232 |       2950 |       2913 |       2973
  misprediction rate                 |      1.41% |      0.32% |      0.30% |      0.32%
  mpki                               |       0.97 |       0.31 |       0.30 |       0.31
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |    1062376 |     922928 |     916686 |     916303
    num misses                       |        217 |         28 |         28 |         29
    miss rate                        |      0.02% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.02 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |    4948044 |    4643978 |    4651224 |    4636575
    num misses                       |       2104 |        972 |       1066 |        914
    miss rate                        |      0.04% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.22 |       0.10 |       0.11 |       0.09
  L2 TLB                             |            |            |            |           
    num accesses                     |       2321 |       1000 |       1094 |        943
    num misses                       |        613 |        199 |        201 |        172
    miss rate                        |     26.41% |     19.90% |     18.37% |     18.24%
    mpki                             |       0.06 |       0.02 |       0.02 |       0.02
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |    1062376 |     922928 |     916686 |     916303
    num cache misses                 |       7010 |        430 |        423 |        401
    miss rate                        |      0.66% |      0.05% |      0.05% |      0.04%
    mpki                             |       0.74 |       0.04 |       0.04 |       0.04
  Cache L1-D                         |            |            |            |           
    num cache accesses               |    4948044 |    4643978 |    4651224 |    4636575
    num cache misses                 |     168789 |     148286 |     146430 |     145591
    miss rate                        |      3.41% |      3.19% |      3.15% |      3.14%
    mpki                             |      17.75 |      15.34 |      14.99 |      15.04
  Cache L2                           |            |            |            |           
    num cache accesses               |     182038 |     152484 |     150824 |     147395
    num cache misses                 |      24187 |      16859 |      16905 |      15973
    miss rate                        |     13.29% |     11.06% |     11.21% |     10.84%
    mpki                             |       2.54 |       1.74 |       1.73 |       1.65
  Cache L3                           |            |            |            |           
    num cache accesses               |      34881 |      25275 |      25086 |      21253
    num cache misses                 |      18326 |      10028 |      12633 |       9148
    miss rate                        |     52.54% |     39.68% |     50.36% |     43.04%
    mpki                             |       1.93 |       1.04 |       1.29 |       0.94
DRAM summary                         |            |            |            |           
  num dram accesses                  |      13761 |          0 |      13737 |          0
  average dram access latency (ns)   |     328.16 |        inf |     331.14 |        inf
  average dram queueing delay        |     266.91 |       0.00 |     269.89 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      1.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       6869 |        126 |         92 |         61
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |       2113 |       4458 |       7335 |       4297
