,avg_ipc,ipc_cv,pe_ratio,local_ratio,remote_ratio,l2_intensity,l3_intensity,mem_intensity,read_ratio,cpi_l3_ratio,cpi_dram_local_ratio,cpi_dram_remote_ratio,cpi_branch_ratio,cpi_sync_ratio,uop_load_ratio,uop_store_ratio,uop_fp_ratio,dtlb_miss_rate,branch_mispredict_rate,avg_dram_latency,dram_queue_ratio,l1d_hit_ratio,futex_wake_per_minst,mem_bw_mbps,operational_intensity,itlb_miss_rate,stlb_miss_rate,load_l1_ratio,Packed,Scatter,HPO,EPO
BC,0.2397543445526028,0.5991425720032094,0.40621652356150517,1.0,0.0,0.0006528821113129763,2.9845614071648826e-05,0.00046256980412792383,0.9920249162380256,0.00021711598121559308,0.029044299409278277,0.0,0.22959930477800278,0.6265562995426576,0.1637961877882257,0.03720798818272387,6.617653457510512e-08,0.0004760878690175194,0.02104352375135617,61376321.56407573,0.09998366720139559,0.9819726683499913,3.024,168.87431640763512,1.4865379126629246e-06,0.00014745614140419553,0.39286831404441663,0.9643203101713387,0.0079669,0.0023138,0.0023175,0.0076317
BFS,0.23775020889310325,0.5983460785349883,0.4066117449133304,1.0,0.0,0.0006491778624210908,3.2847633517725244e-05,0.0004625080719432366,0.9922659750058949,0.00022779857559302979,0.02886095805772626,0.0,0.23152150523691403,0.6288386943333746,0.16381649766324127,0.03715891127077872,6.615543291734907e-08,0.00046216992568386654,0.0211720906749261,61381184.02072145,0.10386983961369592,0.9820073032236367,3.0282,167.60365888720426,1.4851955705527303e-06,0.0001800415638810331,0.4130086510733739,0.9649048360508949,0.0080345,0.0023343,0.0023382,0.0076966
BT,1.3389454136130599,0.6920069169439333,0.2580978355416182,1.0,0.0,0.0027543276440553308,9.419323782258864e-07,1.030628534345895e-05,0.9992917847025495,7.029415322067763e-06,0.0004318099879426759,0.0,0.002984814296069999,1.846924279674685e-06,0.2474447072193115,0.13339565282997376,0.1679745051729011,0.00011233670950148887,0.0008849050035500531,63161087.903832525,1.52640455222305,0.9878371863279364,7.8193,28.322988103810363,185.53934573134165,8.074562557730279e-06,0.04309659361979581,0.9058571317572882,0.0414487,0.0106108,0.0105997,0.0428982
CC,0.23442048761164316,0.5970704735322544,0.4096498248026111,1.0,0.0,0.0006557422863694676,3.078637365212474e-05,0.00046493402151339834,0.9921464730094147,0.00021731895503129448,0.02888997427750377,0.0,0.2343327950901464,0.6319133293807265,0.1639432710936743,0.037308242760686894,6.645359208412785e-08,0.0003661338724885918,0.021435390609485756,61391240.64183873,0.1119072919540366,0.9819243759137466,3.0301,165.81621874322815,1.4901530685231986e-06,0.00016041674130501157,0.4996025437201908,0.9648131923765842,0.0080941,0.0023487,0.0023489,0.0077618
CG,1.0847031591087177,0.6917760440045909,0.2582223329563689,1.0,0.0,0.02574076410818408,1.3028333065268494e-05,2.7220176525649126e-05,0.9982290049631589,4.14996467945961e-05,0.000725941687585672,0.0,0.0456729207317365,0.003036216182896466,0.31500834476874434,0.01564113400517328,0.094413236850863,0.00026070587998434133,0.004427631858773263,356804375.4520764,236.2119814677486,0.9233463360580301,38.5991,114.6990458376717,24.174742914403364,4.3545239592687735e-05,0.054201450246785694,0.8195403309297858,0.0254752,0.0064964,0.0064971,0.0248587
FT,1.415145341614231,0.6779472857545977,0.26579909773996313,1.0,0.0,0.014830776104609361,0.0005885681288893653,0.0021740254335504017,0.5356904620043703,0.0008711552314404783,0.1072001108026164,0.0,0.02597321691986693,1.6653597795977559e-06,0.16515167083156856,0.14640141551623403,0.11239876942547342,0.0008773005343869489,0.006202204796425129,1654971929.720548,659.5973990475413,0.8951947411218457,0.697,7176.665452167004,0.6606640531108509,4.581906103863527e-06,0.18423113662394575,0.6412765395599045,0.0455606,0.0126682,0.0127229,0.0438026
IS,0.41188402412791253,0.6803018057418034,0.26452272665329807,1.0,0.0,0.0029802829611795187,1.3321124551839755e-05,0.0001577291126579,0.998788012340238,5.594943604004054e-05,0.0025431383726394214,0.0,0.006039516311387748,4.310243127660193e-06,0.2297594515429096,0.09600552863755972,0.0773785050992593,0.003699361913197181,0.00326729900996507,298146972.37175953,189.33181404689785,0.968719318216935,7.9355,146.05602044925269,4.521131239658025,8.925130634035986e-05,0.0368,0.9831191504840651,0.0079443,0.0022687,0.002258,0.007363
MG,0.874924205515149,0.692058188431347,0.25819403106008976,1.0,0.0,0.009240408935985643,2.3151825892962275e-05,0.00016969160640171205,0.9985548610860219,0.0001389478711559455,0.006563318015158725,0.0,0.0185671202364589,1.8141650003225182e-05,0.3108941216107084,0.05935098942645244,0.02500893948874097,0.0002466898581712726,0.0036929835628995845,380707853.6698144,255.31611840428891,0.9710300850737388,95.7176,415.1071269330955,3.4848074731357865,0.0001073980063497446,0.25955621853440236,0.8780432534384655,0.0042613,0.0012352,0.0012489,0.0045165
PR,0.23887312192186147,0.5991437523669627,0.4078180789852669,1.0,0.0,0.000654799008900762,3.3765233246608225e-05,0.00045960309192424144,0.990867149985877,0.00022149495725805232,0.02910143789913837,0.0,0.2293813379144329,0.6270965947405067,0.16391241331871223,0.03735314153668369,6.642530588936393e-08,0.0004748014215306838,0.0211156100334081,61395501.12219688,0.11531235290107521,0.9819321044819771,3.0249,169.29427415032202,1.484701634359559e-06,0.0001668395036688334,0.3986167871738447,0.9651872452346237,0.0079569,0.002319,0.0023197,0.0076175
SP,1.0605959853152702,0.7376693209579707,0.23415219037855867,1.0,0.0,0.011423835731116615,4.9896972913250416e-06,2.351898730052258e-05,0.9991044147086714,1.1865766202491428e-05,0.0008217063316367445,0.0,0.01112396573609968,2.9441896260006433e-06,0.2369045008000242,0.09853452538533299,0.12301394370100488,0.0002307780897041813,0.0027389774939380485,62610710.52992354,1.0865319687373471,0.9491205560856363,47.7797,51.198557315632506,67.57779297389929,2.5376017695923173e-05,0.0478745994363152,0.7860110473047855,0.0237069,0.0062501,0.0062337,0.0245302
SSSP,0.31529649729312437,0.5961530205351221,0.35391049872299046,1.0,0.0,0.0005325898843647281,2.3708120841596963e-05,0.00038501226976818187,0.9880211574362165,0.0001789726945019789,0.02936976506263319,0.0,0.19164951790625157,0.5746657471766663,0.15824510113970774,0.03178249229291044,4.828247177285994e-08,0.0004885118363379841,0.015884860190650673,61404823.2396473,0.1227627752491965,0.9854321827512842,2.8872,187.59322080050785,1.2301212407494883e-06,0.0001544721514369824,0.3650640251268422,0.9649202206705024,0.0086669,0.0024934,0.0024991,0.0083531
TC,0.24013910689728124,0.5975688345478349,0.40536241887634045,1.0,0.0,0.0006496266066295976,3.605350251298073e-05,0.00046290780271523427,0.9917990533764469,0.0002770882343648971,0.02879702069820516,0.0,0.23068742780310178,0.6269861150700945,0.1639938345580181,0.03722948677559367,6.555075680315252e-08,0.0004228210575318628,0.02106721529256376,61379373.53052353,0.10242285970774966,0.982103192447842,3.5434,168.5700389734583,1.4765639765639765e-06,0.00020378096808888545,0.452991452991453,0.9645875888394303,0.0080352,0.0023295,0.0023358,0.0076935
lavaMD,0.25765796375958205,0.0,1.0,1.0,0.0,0.00465721301155502,3.5801765623741345e-05,0.018351388362636084,1.0,0.0,0.2687617412418866,0.0,0.228513751845373,0.0007752633562442797,0.2575861602919313,0.11984862819299906,0.0,0.0022270781990686764,0.06311567819320975,61427902.02983672,0.14120780505164585,0.9218859032574509,2.9853,1675.287577217673,0.0,0.0023674242424242425,0.6739130434782609,0.8169917579515459,0.0003252,0.0001781,0.0001766,0.0003739
