                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                       |   11180132 |    3346773 |    3168482 |    3358651 |    2830270 |    3323736 |    3190441 |    3441019
  Cycles                             |    9116000 |    9116000 |    9116000 |    9116000 |    9116000 |    9116000 |    9116000 |    9116000
  IPC                                |       1.23 |       0.37 |       0.35 |       0.37 |       0.31 |       0.36 |       0.35 |       0.38
  Time (ns)                          |    2279000 |    2279000 |    2279000 |    2279000 |    2279000 |    2279000 |    2279000 |    2279000
  Idle time (ns)                     |       1178 |    1806062 |    1806579 |    1806679 |    1806700 |    1806813 |    1806848 |    1806934
  Idle time (%)                      |       0.1% |      79.2% |      79.3% |      79.3% |      79.3% |      79.3% |      79.3% |      79.3%
Branch predictor stats               |            |            |            |            |            |            |            |           
  num correct                        |    1368770 |    1048822 |     976540 |    1053312 |     832848 |    1037904 |     982334 |    1087833
  num incorrect                      |      78194 |       6263 |       8395 |       6224 |      13063 |       6524 |       8256 |       5059
  misprediction rate                 |      5.40% |      0.59% |      0.85% |      0.59% |      1.54% |      0.62% |      0.83% |      0.46%
  mpki                               |       6.99 |       1.87 |       2.65 |       1.85 |       4.62 |       1.96 |       2.59 |       1.47
TLB Summary                          |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    1297163 |      55939 |      69213 |      54690 |     103101 |      60633 |      71949 |      47541
    num misses                       |        177 |         29 |         27 |         27 |         27 |         27 |         27 |         27
    miss rate                        |      0.01% |      0.05% |      0.04% |      0.05% |      0.03% |      0.04% |      0.04% |      0.06%
    mpki                             |       0.02 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  D-TLB                              |            |            |            |            |            |            |            |           
    num accesses                     |    2728894 |     655340 |     636230 |     656754 |     603433 |     652958 |     639540 |     664804
    num misses                       |       1679 |        153 |        148 |        147 |        147 |        132 |        136 |        138
    miss rate                        |      0.06% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02% |      0.02%
    mpki                             |       0.15 |       0.05 |       0.05 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
  L2 TLB                             |            |            |            |            |            |            |            |           
    num accesses                     |       1856 |        182 |        175 |        174 |        174 |        159 |        163 |        165
    num misses                       |        596 |        134 |        141 |        141 |        139 |        137 |        134 |        138
    miss rate                        |     32.11% |     73.63% |     80.57% |     81.03% |     79.89% |     86.16% |     82.21% |     83.64%
    mpki                             |       0.05 |       0.04 |       0.04 |       0.04 |       0.05 |       0.04 |       0.04 |       0.04
Cache Summary                        |            |            |            |            |            |            |            |           
  Cache L1-I                         |            |            |            |            |            |            |            |           
    num cache accesses               |    1297163 |      55939 |      69213 |      54690 |     103101 |      60633 |      71949 |      47541
    num cache misses                 |       2717 |        179 |        172 |        171 |        173 |        170 |        171 |        170
    miss rate                        |      0.21% |      0.32% |      0.25% |      0.31% |      0.17% |      0.28% |      0.24% |      0.36%
    mpki                             |       0.24 |       0.05 |       0.05 |       0.05 |       0.06 |       0.05 |       0.05 |       0.05
  Cache L1-D                         |            |            |            |            |            |            |            |           
    num cache accesses               |    2728894 |     655340 |     636230 |     656754 |     603433 |     652958 |     639540 |     664804
    num cache misses                 |      37487 |      13153 |      13394 |      13033 |      13567 |      13125 |      13293 |      12931
    miss rate                        |      1.37% |      2.01% |      2.11% |      1.98% |      2.25% |      2.01% |      2.08% |      1.95%
    mpki                             |       3.35 |       3.93 |       4.23 |       3.88 |       4.79 |       3.95 |       4.17 |       3.76
  Cache L2                           |            |            |            |            |            |            |            |           
    num cache accesses               |      42510 |      13452 |      13704 |      13323 |      14239 |      13692 |      13880 |      13463
    num cache misses                 |      29094 |      12116 |      12298 |      12028 |      12450 |      12123 |      12247 |      12008
    miss rate                        |     68.44% |     90.07% |     89.74% |     90.28% |     87.44% |     88.54% |     88.23% |     89.19%
    mpki                             |       2.60 |       3.62 |       3.88 |       3.58 |       4.40 |       3.65 |       3.84 |       3.49
  Cache L3                           |            |            |            |            |            |            |            |           
    num cache accesses               |      31732 |      12243 |      12440 |      12147 |      12951 |      12520 |      12664 |      12371
    num cache misses                 |      23588 |       6738 |       6930 |       6657 |       7552 |       7304 |       7343 |       7130
    miss rate                        |     74.34% |     55.04% |     55.71% |     54.80% |     58.31% |     58.34% |     57.98% |     57.63%
    mpki                             |       2.11 |       2.01 |       2.19 |       1.98 |       2.67 |       2.20 |       2.30 |       2.07
DRAM summary                         |            |            |            |            |            |            |            |           
  num dram accesses                  |      10709 |          0 |          0 |          0 |      10641 |          0 |          0 |          0
  average dram access latency (ns)   |      61.51 |        inf |        inf |        inf |      61.48 |        inf |        inf |        inf
  average dram queueing delay        |       0.26 |       0.00 |       0.00 |       0.00 |       0.23 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |           
  num loads from dram                |      10408 |        144 |        153 |        126 |        104 |        100 |         98 |        105
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       2020 |       1895 |       1982 |       1965 |       2590 |       2431 |       2427 |       2386
