                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14   
  Instructions                       |    9695223 |    4410564 |   84315431 |   84061888 |   84089085 |  171983951 |  102874293 |   96183968 |   92636221 |  102230789 |  347878931 |  361061527 |  369285680 |  367033175 |    4581240
  Cycles                             |  241704760 |  318610820 |  318610820 |  318610820 |  318610820 |  241704760 |  241704760 |  241704760 |  241704760 |  318610820 |  241704760 |  318610820 |  318610820 |  318610820 |  241704760
  IPC                                |       0.04 |       0.01 |       0.26 |       0.26 |       0.26 |       0.71 |       0.43 |       0.40 |       0.38 |       0.32 |       1.44 |       1.13 |       1.16 |       1.15 |       0.02
  Time (ns)                          |  109865800 |  109865800 |  109865800 |  109865800 |  109865800 |  109865800 |  109865800 |  109865800 |  109865800 |  109865800 |  109865800 |  109865800 |  109865800 |  109865800 |  109865800
  Idle time (ns)                     |  106123289 |  107758013 |   60103299 |   60365587 |   60242724 |   11096843 |   91547386 |   92324470 |   92972029 |   94140976 |    9285576 |    9196838 |    8694377 |    7310742 |  108179934
  Idle time (%)                      |      96.6% |      98.1% |      54.7% |      54.9% |      54.8% |      10.1% |      83.3% |      84.0% |      84.6% |      85.7% |       8.5% |       8.4% |       7.9% |       6.7% |      98.5%
Branch predictor stats               |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num correct                        |    1279129 |     175565 |    4237719 |    4224596 |    4226921 |    8658484 |     153416 |     150485 |     145031 |     155744 |   41648268 |   43092689 |   44080042 |   43919389 |     468660
  num incorrect                      |       7629 |        726 |        633 |        620 |        630 |       1463 |       2706 |       2734 |       2665 |       2725 |    1950506 |    2025282 |    2027154 |    2110088 |       8109
  misprediction rate                 |      0.59% |      0.41% |      0.01% |      0.01% |      0.01% |      0.02% |      1.73% |      1.78% |      1.80% |      1.72% |      4.47% |      4.49% |      4.40% |      4.58% |      1.70%
  mpki                               |       0.79 |       0.16 |       0.01 |       0.01 |       0.01 |       0.01 |       0.03 |       0.03 |       0.03 |       0.03 |       5.61 |       5.61 |       5.49 |       5.75 |       1.77
TLB Summary                          |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  I-TLB                              |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num accesses                     |    1529738 |     430466 |    6367612 |    6347310 |    6352509 |   13010245 |    5784171 |    5418117 |    5218405 |    5752683 |   39715757 |   41279401 |   42016569 |   41846613 |     619762
